# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4201694000e+03    3.6365318000e-03
2.4207325000e+03    1.6934828000e-03
2.4224365000e+03    1.1236455000e-03
2.4227818000e+03    2.7960000000e-07
2.4234370000e+03    7.2986460000e-04
2.4239660000e+03    2.1111220000e-04
2.4245042000e+03    1.8481670000e-04
2.4248633000e+03    7.9281200000e-05
2.4256527000e+03    2.7457940000e-04
2.4259194000e+03    3.1993700000e-04
2.4260078000e+03    7.3553000000e-06
2.4268403000e+03    1.8249230000e-04
2.4272341000e+03    3.2868928000e-03
2.4274134000e+03    3.0135250000e-03
2.4277783000e+03    2.2804418000e-03
2.4285138000e+03    1.4842775000e-03
2.4294861000e+03    5.9519320000e-04
2.4295424000e+03    5.4833200000e-04
2.4299873000e+03    4.1760000000e-04
2.4304190000e+03    1.4055212000e-03
2.4307491000e+03    6.0205000000e-06
2.4309025000e+03    4.7921200000e-05
2.4314125000e+03    1.0359760000e-04
2.4322887000e+03    2.7793580000e-04
2.4327244000e+03    9.7561600000e-05
2.4342649000e+03    3.1392230000e-04
2.4346795000e+03    4.0006900000e-05
2.4349330000e+03    6.3723300000e-05
2.4350260000e+03    1.2738410000e-04
2.4352732000e+03    6.9382800000e-05
2.4357159000e+03    4.3393360000e-04
2.4358628000e+03    2.3157500000e-05
2.4368700000e+03    3.6034600000e-05
2.4373709000e+03    7.6459300000e-05
2.4377563000e+03    5.1881110000e-04
2.4382256000e+03    9.7382600000e-05
2.4384090000e+03    3.3360300000e-05
2.4386731000e+03    4.4203000000e-06
2.4391395000e+03    7.3190820000e-04
2.4397615000e+03    6.9374720000e-04
2.4401264000e+03    2.0476140000e-04
2.4407556000e+03    2.9911000000e-06
2.4415672000e+03    2.6435000000e-05
2.4416080000e+03    4.5400560000e-04
2.4422672000e+03    1.2765790000e-04
2.4424069000e+03    4.5197710000e-04
2.4428963000e+03    1.7499170000e-04
2.4434622000e+03    1.5293700000e-05
2.4446574000e+03    1.0755220000e-04
2.4455696000e+03    8.2001400000e-05
