# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4198784000e+03    1.4910918900e-02
2.4204474000e+03    1.7825253200e-02
2.4215810000e+03    6.8046944000e-03
2.4223142000e+03    1.1262784000e-03
2.4239455000e+03    6.8249247000e-03
2.4242221000e+03    2.1937080000e-04
2.4244095000e+03    4.5330500000e-04
2.4246751000e+03    1.8881610000e-04
2.4248438000e+03    2.0337695000e-03
2.4248843000e+03    2.1578533000e-03
2.4255550000e+03    9.7449800000e-05
2.4260456000e+03    7.8045500000e-05
2.4266442000e+03    8.7110050000e-04
2.4266723000e+03    2.4876600000e-05
2.4280267000e+03    4.3951579000e-03
2.4282213000e+03    1.1876807800e-02
2.4282289000e+03    2.1707698900e-02
2.4285501000e+03    9.4084874000e-03
2.4287948000e+03    3.8835239000e-03
2.4295174000e+03    1.0641059200e-02
2.4299440000e+03    1.1977740000e-04
2.4301160000e+03    1.0205190900e-02
2.4304714000e+03    7.3549803000e-03
2.4313363000e+03    3.2380213000e-03
2.4318264000e+03    9.5375800000e-05
2.4319325000e+03    2.1167900000e-05
2.4328100000e+03    9.9248850000e-04
2.4328541000e+03    1.9834870000e-04
2.4332970000e+03    6.5632090000e-04
2.4342311000e+03    2.1653600000e-04
2.4343318000e+03    1.0075280000e-03
2.4344904000e+03    2.0256883000e-03
2.4346593000e+03    2.6583580000e-04
2.4349716000e+03    8.6669310000e-04
2.4355869000e+03    1.2624370000e-04
2.4360120000e+03    5.4690000000e-07
2.4362060000e+03    3.4411898000e-03
2.4366242000e+03    3.8923610000e-04
2.4370237000e+03    4.1867800000e-05
2.4373252000e+03    8.2484070000e-04
2.4384062000e+03    6.2886460000e-04
2.4384918000e+03    6.8745940000e-04
2.4389236000e+03    1.4350000000e-07
2.4393431000e+03    1.4543456000e-03
2.4395355000e+03    2.6316770000e-04
2.4396703000e+03    1.2122000000e-06
2.4397392000e+03    8.3016040000e-04
2.4402260000e+03    3.3208946000e-03
2.4410565000e+03    2.7006156000e-03
2.4418923000e+03    5.7853949000e-03
