# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 24 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4875926000e+03    1.9404645000e-03
2.4871567000e+03    3.3759907400e-02
2.4856678000e+03    3.0327923000e-03
2.4850728000e+03    1.7163259000e-03
2.4845304000e+03    3.2034616400e-02
2.4831486000e+03    8.4206270000e-03
2.4830136000e+03    7.8804623000e-03
2.4826612000e+03    1.5247233000e-03
2.4824264000e+03    2.1328000000e-06
2.4798474000e+03    2.0965694000e-03
2.4788474000e+03    2.8319511000e-03
2.4782043000e+03    1.6459831000e-03
2.4741058000e+03    7.4288680000e-04
2.4733405000e+03    7.1400300000e-04
2.4706800000e+03    4.7985020000e-04
2.4689454000e+03    1.1219411000e-03
2.3169222000e+03    5.6604344460e-01
2.3168387000e+03    5.6400905000e-01
2.3167975000e+03    3.2426984700e-01
2.2667205000e+03    1.1136700000e-05
2.2151434000e+03    1.0000000000e-10
2.2151242000e+03    0.0000000000e+00
2.2146746000e+03    4.0000000000e-10
2.2131775000e+03    1.0000000000e-10
