# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 48 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4873038000e+03    2.1169193000e-03
2.4872789000e+03    6.1204000000e-06
2.4864606000e+03    1.4580191000e-03
2.4861784000e+03    1.8500240000e-03
2.4861343000e+03    2.1981363000e-03
2.4843670000e+03    1.2192642000e-03
2.4841105000e+03    9.5080000000e-07
2.4840341000e+03    9.2412790000e-04
2.4837511000e+03    1.7550614000e-03
2.4836744000e+03    1.3847910000e-04
2.4835348000e+03    1.5088340000e-04
2.4831218000e+03    2.4556920000e-04
2.4825845000e+03    5.0603380000e-04
2.4824883000e+03    8.1800000000e-08
2.4821959000e+03    5.6864950000e-04
2.4819280000e+03    3.6328640000e-04
2.4818939000e+03    4.4019560000e-04
2.4805008000e+03    2.0987600000e-04
2.4796360000e+03    6.2340320000e-04
2.4791848000e+03    9.0807000000e-05
2.4789477000e+03    4.9059000000e-06
2.4784628000e+03    3.4767340000e-04
2.4773892000e+03    1.0495300000e-05
2.4765277000e+03    2.0813880000e-04
2.4748198000e+03    3.2563700000e-05
2.4722878000e+03    1.0231710000e-04
2.4717003000e+03    2.4788750000e-04
2.4669641000e+03    3.7500000000e-08
2.4665651000e+03    7.1444000000e-05
2.4644680000e+03    4.7610000000e-07
2.4614636000e+03    8.4000000000e-09
2.4612255000e+03    6.5700000000e-08
2.4588560000e+03    1.4140000000e-07
2.3169119000e+03    8.8814704900e-02
2.3168370000e+03    8.9607554500e-02
2.3168007000e+03    8.9231194200e-02
2.2667137000e+03    4.8480000000e-07
2.2145150000e+03    1.0000000000e-10
2.2143352000e+03    0.0000000000e+00
2.2133557000e+03    1.0000000000e-10
2.2133293000e+03    0.0000000000e+00
2.2099752000e+03    0.0000000000e+00
2.1017283000e+03    0.0000000000e+00
1.9731132000e+03    0.0000000000e+00
1.9717872000e+03    0.0000000000e+00
1.8208888000e+03    0.0000000000e+00
1.8208886000e+03    0.0000000000e+00
1.8206227000e+03    0.0000000000e+00
