# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4202176000e+03    1.6902252000e-02
2.4204275000e+03    1.6477997700e-02
2.4217933000e+03    7.5085657000e-03
2.4219035000e+03    5.9904020000e-04
2.4239418000e+03    5.5376041000e-03
2.4246777000e+03    9.7704570000e-04
2.4249287000e+03    6.3531960000e-04
2.4250090000e+03    1.9029105000e-03
2.4251443000e+03    1.3682159000e-03
2.4253592000e+03    1.7512800000e-04
2.4253738000e+03    9.4939810000e-04
2.4267283000e+03    3.7621320000e-04
2.4280072000e+03    1.8001128100e-02
2.4280307000e+03    6.0977236000e-03
2.4284097000e+03    1.5109047100e-02
2.4289565000e+03    2.0994211700e-02
2.4295564000e+03    1.9020397000e-03
2.4299859000e+03    9.3326420000e-04
2.4301881000e+03    1.0583938400e-02
2.4304216000e+03    9.9539752000e-03
2.4307633000e+03    4.8554090000e-04
2.4313237000e+03    1.9920028000e-03
2.4330278000e+03    9.8835780000e-04
2.4333605000e+03    2.3562100000e-05
2.4335574000e+03    9.1337360000e-04
2.4337216000e+03    9.6460130000e-04
2.4340573000e+03    4.0396280000e-04
2.4350660000e+03    7.6731540000e-04
2.4352192000e+03    1.0671760000e-04
2.4362048000e+03    6.0107190000e-04
2.4362293000e+03    5.5521100000e-05
2.4363625000e+03    1.2521070000e-04
2.4366946000e+03    2.4799890000e-04
2.4369776000e+03    8.9801280000e-04
2.4378367000e+03    3.6766930000e-03
2.4384345000e+03    1.6830000000e-06
2.4384367000e+03    6.6914950000e-04
2.4387834000e+03    1.4790884000e-03
2.4396899000e+03    1.6483119000e-03
2.4401152000e+03    2.9087475000e-03
2.4407009000e+03    6.8445070000e-04
2.4414059000e+03    1.6384327000e-03
2.4414890000e+03    5.5444860000e-04
2.4422897000e+03    3.6820358000e-03
2.4429108000e+03    1.0155700000e-05
2.4434045000e+03    2.9713538000e-03
2.4447627000e+03    1.5418639000e-03
2.4452827000e+03    2.1406480000e-04
2.4458732000e+03    2.3434000000e-06
2.4461010000e+03    1.8778400000e-04
