# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 29 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4873478000e+03    1.0068905000e-03
2.4863724000e+03    4.3087147000e-03
2.4860233000e+03    2.0365693000e-03
2.4845662000e+03    3.3164967000e-03
2.4835619000e+03    1.0513440000e-04
2.4833849000e+03    4.7857830000e-04
2.4831123000e+03    8.4847780000e-04
2.4828463000e+03    6.1150000000e-07
2.4827816000e+03    4.8048890000e-04
2.4819488000e+03    7.9597300000e-04
2.4816538000e+03    3.7626410000e-04
2.4804118000e+03    6.6015510000e-04
2.4789683000e+03    9.9303720000e-04
2.4774533000e+03    5.1663100000e-05
2.4753033000e+03    1.3289560000e-04
2.4741343000e+03    5.7053800000e-05
2.4722358000e+03    1.2767600000e-04
2.4712888000e+03    1.5513980000e-04
2.4666230000e+03    7.3370500000e-05
2.3168796000e+03    8.8834561600e-02
2.3168068000e+03    8.9603718500e-02
2.3167739000e+03    8.9217510400e-02
2.2666876000e+03    3.7640000000e-07
2.2162895000e+03    0.0000000000e+00
2.2159644000e+03    0.0000000000e+00
2.2142826000e+03    1.0000000000e-10
2.2142551000e+03    1.0000000000e-10
2.2134933000e+03    1.0000000000e-10
2.1017121000e+03    0.0000000000e+00
