# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4878113000e+03    3.4741144400e-02
2.4873820000e+03    1.3258682200e-02
2.4865906000e+03    1.4709434000e-03
2.4857894000e+03    1.9535820700e-02
2.4855160000e+03    4.0798156000e-03
2.4849330000e+03    1.0212855700e-02
2.4848242000e+03    9.1170463000e-03
2.4844951000e+03    2.1329414100e-02
2.4831584000e+03    3.3539964700e-02
2.4827325000e+03    9.9693580000e-03
2.4826621000e+03    9.8577017000e-03
2.4815563000e+03    1.8362154000e-03
2.4797729000e+03    7.2087791000e-03
2.4778792000e+03    1.0062594000e-03
2.4771568000e+03    4.2827910000e-03
2.4741080000e+03    2.6115119000e-03
2.4728273000e+03    1.0109882000e-03
2.4715828000e+03    7.3506440000e-04
2.4696449000e+03    3.1586510000e-04
2.4687891000e+03    1.1371670000e-03
2.3169271000e+03    1.0892134624e+00
2.3168467000e+03    6.3979684140e-01
2.3168048000e+03    1.0268036116e+00
2.2667310000e+03    8.0959000000e-06
2.2157120000e+03    0.0000000000e+00
2.2146771000e+03    2.0000000000e-10
2.2143904000e+03    4.0000000000e-10
2.2142121000e+03    0.0000000000e+00
2.2138700000e+03    0.0000000000e+00
2.1032421000e+03    0.0000000000e+00
