# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 34 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4882295000e+03    2.6405351300e-02
2.4875919000e+03    1.1594489700e-02
2.4873333000e+03    1.5582005000e-03
2.4863385000e+03    1.5291855000e-03
2.4860016000e+03    2.5550121600e-02
2.4856329000e+03    1.2636161000e-02
2.4845260000e+03    3.2887675100e-02
2.4831981000e+03    3.3621566200e-02
2.4828771000e+03    1.1731493900e-02
2.4826438000e+03    9.9740029000e-03
2.4816099000e+03    1.6304118000e-03
2.4811181000e+03    2.3128470000e-04
2.4810875000e+03    1.3502450000e-04
2.4800532000e+03    4.8675720000e-04
2.4796808000e+03    7.0135437000e-03
2.4778163000e+03    7.6650010000e-04
2.4770506000e+03    4.2807479000e-03
2.4740416000e+03    2.5717258000e-03
2.4727466000e+03    1.0055650000e-03
2.4714411000e+03    6.9848790000e-04
2.4692964000e+03    5.5775240000e-04
2.4686907000e+03    8.2657040000e-04
2.4625623000e+03    4.7000000000e-09
2.3169260000e+03    1.0896867081e+00
2.3168435000e+03    6.5630093540e-01
2.3168027000e+03    1.0110429186e+00
2.2667303000e+03    8.1779000000e-06
2.2149080000e+03    0.0000000000e+00
2.2145829000e+03    2.0000000000e-10
2.2145547000e+03    4.0000000000e-10
2.2140239000e+03    0.0000000000e+00
2.2137767000e+03    0.0000000000e+00
2.0991037000e+03    0.0000000000e+00
1.9710457000e+03    0.0000000000e+00
