# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4866655000e+03    5.9517869000e-03
2.4859198000e+03    1.2080660000e-03
2.4856278000e+03    1.2461847000e-03
2.4839645000e+03    3.2932910000e-03
2.4834012000e+03    3.0753160000e-04
2.4831282000e+03    1.4019520000e-04
2.4824791000e+03    1.1670431000e-03
2.4819186000e+03    3.3600800000e-05
2.4809716000e+03    1.4838146000e-03
2.4807503000e+03    5.6578000000e-05
2.4806934000e+03    4.0446580000e-04
2.4796480000e+03    1.4424120000e-04
2.4796362000e+03    8.7498400000e-05
2.4774984000e+03    2.5393700000e-05
2.4773802000e+03    5.3044000000e-05
2.4757214000e+03    3.8175000000e-06
2.4736322000e+03    1.6868500000e-04
2.4722406000e+03    8.4395600000e-05
2.4706794000e+03    7.8393100000e-05
2.4699071000e+03    1.0280700000e-04
2.3168701000e+03    8.8898359800e-02
2.3167838000e+03    8.9214674000e-02
2.3167369000e+03    8.9722124300e-02
2.2666579000e+03    8.4440000000e-07
2.2148816000e+03    0.0000000000e+00
2.2148816000e+03    0.0000000000e+00
2.2148211000e+03    0.0000000000e+00
2.2148208000e+03    0.0000000000e+00
2.2131922000e+03    1.0000000000e-10
2.2131922000e+03    1.0000000000e-10
