# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 95 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4882347000e+03    3.3693000000e-06
2.4875965000e+03    3.0548000000e-06
2.4871833000e+03    1.5321200000e-05
2.4866588000e+03    3.5107474000e-03
2.4863962000e+03    2.7191100000e-05
2.4862603000e+03    2.4673977000e-03
2.4857494000e+03    9.0792040000e-04
2.4851766000e+03    1.4820880000e-04
2.4850949000e+03    8.5790840000e-04
2.4850007000e+03    4.8549000000e-06
2.4848667000e+03    7.1122600000e-05
2.4843318000e+03    1.3592400000e-04
2.4842382000e+03    2.6975955000e-03
2.4840597000e+03    6.6543380000e-04
2.4837649000e+03    3.6189800000e-05
2.4834756000e+03    1.1515119000e-03
2.4832393000e+03    5.7679430000e-04
2.4831451000e+03    1.4153600000e-05
2.4830912000e+03    4.9448500000e-05
2.4828947000e+03    1.2822300000e-05
2.4826637000e+03    1.9465000000e-06
2.4825597000e+03    1.3969380000e-04
2.4824039000e+03    5.5342200000e-04
2.4822780000e+03    4.7571900000e-05
2.4822742000e+03    1.5708300000e-05
2.4820536000e+03    2.6397100000e-05
2.4819267000e+03    6.1463500000e-05
2.4817782000e+03    1.6564400000e-05
2.4816689000e+03    6.4768000000e-05
2.4815980000e+03    1.0744500000e-05
2.4813249000e+03    5.1090800000e-05
2.4811796000e+03    1.4723400000e-05
2.4810070000e+03    1.7950210000e-04
2.4806812000e+03    2.5095690000e-04
2.4804484000e+03    1.5150000000e-05
2.4801418000e+03    1.0746090000e-04
2.4799870000e+03    5.4900000000e-06
2.4797951000e+03    5.4568700000e-05
2.4795663000e+03    8.8792000000e-06
2.4795407000e+03    9.1445800000e-05
2.4791994000e+03    3.3649000000e-06
2.4789619000e+03    2.1035170000e-04
2.4784800000e+03    2.3689000000e-05
2.4780026000e+03    1.3410190000e-04
2.4777420000e+03    1.5123480000e-04
2.4771868000e+03    2.1809400000e-05
2.4770128000e+03    2.4564400000e-05
2.4768659000e+03    2.6389900000e-05
2.4758908000e+03    2.1036000000e-06
2.4754388000e+03    9.1614400000e-05
2.4749778000e+03    3.8998200000e-05
2.4736571000e+03    8.4916000000e-06
2.4734476000e+03    1.6370000000e-07
2.4734019000e+03    7.6013000000e-06
2.4730305000e+03    3.8565000000e-06
2.4725589000e+03    1.5671870000e-04
2.4709456000e+03    4.9451000000e-05
2.4706658000e+03    4.2260000000e-07
2.4695532000e+03    4.9455000000e-06
2.4693552000e+03    5.3352200000e-05
2.4676964000e+03    2.3010000000e-06
2.4654210000e+03    1.7562600000e-05
2.4648709000e+03    1.0000000000e-10
2.4647906000e+03    2.4860000000e-07
2.4646692000e+03    6.4900000000e-07
2.4634786000e+03    2.2339000000e-06
2.4622042000e+03    9.8600000000e-08
2.3168444000e+03    8.8968178200e-02
2.3167621000e+03    8.9477990400e-02
2.3167261000e+03    8.9269420100e-02
2.2666408000e+03    4.2860000000e-07
2.2163067000e+03    0.0000000000e+00
2.2162552000e+03    0.0000000000e+00
2.2162292000e+03    0.0000000000e+00
2.2161077000e+03    0.0000000000e+00
2.2160724000e+03    0.0000000000e+00
2.2149882000e+03    0.0000000000e+00
2.2149611000e+03    0.0000000000e+00
2.2149516000e+03    0.0000000000e+00
2.2145200000e+03    0.0000000000e+00
2.2134471000e+03    0.0000000000e+00
2.2130536000e+03    0.0000000000e+00
2.2128737000e+03    0.0000000000e+00
2.2123257000e+03    1.0000000000e-10
2.2122921000e+03    1.0000000000e-10
2.2120157000e+03    0.0000000000e+00
2.2113589000e+03    0.0000000000e+00
2.1039823000e+03    0.0000000000e+00
2.1016453000e+03    0.0000000000e+00
2.1004411000e+03    0.0000000000e+00
1.9722667000e+03    0.0000000000e+00
1.9712744000e+03    0.0000000000e+00
1.9709539000e+03    0.0000000000e+00
1.9707477000e+03    0.0000000000e+00
1.9693799000e+03    0.0000000000e+00
