# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 63 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4880659000e+03    1.2013940000e-04
2.4874011000e+03    4.4213800000e-05
2.4871725000e+03    9.4979400000e-05
2.4868432000e+03    2.2733500000e-05
2.4866373000e+03    5.6867119000e-03
2.4857361000e+03    3.4648730000e-04
2.4851725000e+03    1.8381010000e-04
2.4847874000e+03    8.5339430000e-04
2.4845056000e+03    2.9379218000e-03
2.4840154000e+03    5.9547790000e-04
2.4837605000e+03    2.2692690000e-04
2.4832457000e+03    1.0177093000e-03
2.4830331000e+03    9.3030620000e-04
2.4829245000e+03    6.6486580000e-04
2.4828400000e+03    2.7750640000e-04
2.4821124000e+03    2.2116330000e-04
2.4817613000e+03    2.4605180000e-04
2.4815792000e+03    1.6173400000e-05
2.4811926000e+03    1.1749780000e-04
2.4810093000e+03    6.8228400000e-05
2.4808135000e+03    7.5227200000e-05
2.4806603000e+03    9.6958000000e-06
2.4802591000e+03    1.7147010000e-04
2.4798207000e+03    3.0962700000e-05
2.4796122000e+03    6.0940800000e-05
2.4792421000e+03    2.3099840000e-04
2.4788987000e+03    9.4085000000e-05
2.4784842000e+03    4.4617300000e-05
2.4780028000e+03    4.7753200000e-05
2.4768750000e+03    1.6900230000e-04
2.4763915000e+03    6.7865000000e-06
2.4757801000e+03    6.6254500000e-05
2.4753260000e+03    7.8895300000e-05
2.4742895000e+03    2.0430300000e-05
2.4725555000e+03    3.3350300000e-05
2.4714657000e+03    5.9621500000e-05
2.4708283000e+03    1.9545250000e-04
2.4698301000e+03    3.8981000000e-06
2.4677057000e+03    1.0279000000e-06
2.4672130000e+03    4.5270000000e-07
2.4652908000e+03    5.4870000000e-07
2.4649179000e+03    5.6580000000e-07
2.4632909000e+03    1.1016700000e-05
2.4601454000e+03    0.0000000000e+00
2.3168618000e+03    8.8941948700e-02
2.3167728000e+03    8.9631045700e-02
2.3167424000e+03    8.9190343300e-02
2.2666583000e+03    5.1280000000e-07
2.2145943000e+03    0.0000000000e+00
2.2139844000e+03    0.0000000000e+00
2.2137231000e+03    0.0000000000e+00
2.2136183000e+03    0.0000000000e+00
2.2134778000e+03    1.0000000000e-10
2.2131528000e+03    0.0000000000e+00
2.2125868000e+03    1.0000000000e-10
2.2121264000e+03    1.0000000000e-10
2.1037375000e+03    0.0000000000e+00
2.1025779000e+03    0.0000000000e+00
2.1012166000e+03    0.0000000000e+00
1.9734263000e+03    0.0000000000e+00
1.9709965000e+03    0.0000000000e+00
1.9699388000e+03    0.0000000000e+00
1.8201489000e+03    0.0000000000e+00
