# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197570000e+03    2.2972344700e-02
2.4207083000e+03    1.1633406900e-02
2.4213102000e+03    1.0257602600e-02
2.4215369000e+03    1.9586384000e-03
2.4218997000e+03    3.1992979000e-03
2.4219350000e+03    1.2115835000e-03
2.4226136000e+03    2.1583190000e-03
2.4229274000e+03    1.8458980000e-04
2.4232579000e+03    2.0924311000e-03
2.4234614000e+03    3.4373690000e-04
2.4237207000e+03    1.8002765000e-03
2.4239814000e+03    8.2434710000e-04
2.4240976000e+03    7.3310600000e-05
2.4243241000e+03    6.1606590000e-04
2.4245732000e+03    2.4072884000e-03
2.4248609000e+03    3.3934020000e-04
2.4260940000e+03    2.9452419000e-03
2.4266493000e+03    4.1235923000e-03
2.4266739000e+03    3.3568448000e-03
2.4270837000e+03    4.0191777000e-03
2.4272329000e+03    4.1525020000e-04
2.4275393000e+03    4.1784750000e-03
2.4278239000e+03    1.9523367000e-02
2.4281610000e+03    9.9413978000e-03
2.4282324000e+03    1.4642291400e-02
2.4284369000e+03    1.1523528500e-02
2.4287197000e+03    6.5748876000e-03
2.4293515000e+03    7.3279291000e-03
2.4304864000e+03    2.9535830000e-03
2.4307757000e+03    4.5044423000e-03
2.4316339000e+03    3.6763640000e-04
2.4319085000e+03    1.4026737000e-03
2.4321921000e+03    3.6682097000e-03
2.4330804000e+03    6.7506045000e-03
2.4335115000e+03    1.6934580000e-03
2.4337838000e+03    5.0343620000e-04
2.4340145000e+03    8.0038600000e-05
2.4347317000e+03    5.0204110000e-04
2.4348745000e+03    3.3842310000e-04
2.4354883000e+03    1.1159900000e-04
2.4361440000e+03    6.9740550000e-04
2.4363205000e+03    5.5732140000e-04
2.4367736000e+03    6.6751000000e-05
2.4368946000e+03    2.1240600000e-04
2.4370834000e+03    4.6241980000e-04
2.4372221000e+03    3.2133690000e-04
2.4374841000e+03    1.9287292000e-03
2.4379307000e+03    8.3184380000e-04
2.4386117000e+03    5.5904230000e-04
2.4390216000e+03    4.8567400000e-04
