# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4198065000e+03    3.9575350000e-03
2.4208810000e+03    2.4030680000e-04
2.4211420000e+03    2.7569298000e-03
2.4219936000e+03    5.3344100000e-05
2.4223102000e+03    6.6790400000e-05
2.4230986000e+03    4.5015600000e-05
2.4232027000e+03    1.0397470000e-04
2.4233169000e+03    1.5985960000e-04
2.4235458000e+03    2.7441300000e-05
2.4241428000e+03    4.3188950000e-04
2.4242102000e+03    5.1325800000e-05
2.4243910000e+03    2.3098030000e-04
2.4248110000e+03    4.0216200000e-05
2.4252556000e+03    2.7747630000e-04
2.4262027000e+03    3.4267590000e-04
2.4266256000e+03    1.0371840000e-03
2.4267622000e+03    1.1093891000e-03
2.4268362000e+03    3.8339090000e-04
2.4269126000e+03    3.3022757000e-03
2.4272347000e+03    3.5797960000e-04
2.4276975000e+03    2.1456210000e-04
2.4280466000e+03    1.4367634000e-03
2.4282817000e+03    2.2062579000e-03
2.4283898000e+03    7.8752950000e-04
2.4293389000e+03    9.7149130000e-04
2.4302968000e+03    9.5597200000e-05
2.4306515000e+03    3.2975200000e-05
2.4309477000e+03    2.0472630000e-04
2.4313930000e+03    2.3862500000e-05
2.4315281000e+03    5.7572360000e-04
2.4317573000e+03    2.3511040000e-04
2.4322109000e+03    7.1712100000e-05
2.4324472000e+03    6.3516190000e-04
2.4330436000e+03    1.2245440000e-04
2.4338870000e+03    2.3023490000e-04
2.4341280000e+03    1.0291360000e-04
2.4345475000e+03    7.1058200000e-05
2.4351965000e+03    2.4903600000e-05
2.4353443000e+03    2.3370600000e-05
2.4357669000e+03    4.9985600000e-05
2.4360851000e+03    6.0044900000e-05
2.4363521000e+03    1.4989900000e-05
2.4365857000e+03    1.3361800000e-05
2.4367187000e+03    1.8909000000e-05
2.4370683000e+03    1.5998300000e-05
2.4372523000e+03    2.7001200000e-05
2.4373849000e+03    5.1512520000e-04
2.4376650000e+03    3.2803200000e-05
2.4378013000e+03    3.1427020000e-04
2.4379835000e+03    1.7505090000e-04
