# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197987000e+03    4.0102792000e-03
2.4209651000e+03    3.8203370000e-04
2.4211319000e+03    2.5890960000e-03
2.4218120000e+03    2.8491100000e-05
2.4219773000e+03    1.2843450000e-04
2.4223079000e+03    8.2012700000e-05
2.4226470000e+03    1.9216000000e-05
2.4231862000e+03    1.5696810000e-04
2.4232743000e+03    3.5711600000e-05
2.4234457000e+03    7.9333700000e-05
2.4239287000e+03    1.1042740000e-04
2.4241957000e+03    1.2299300000e-05
2.4242917000e+03    9.4126600000e-05
2.4244197000e+03    1.9205210000e-04
2.4246219000e+03    3.2154480000e-04
2.4250716000e+03    4.0215900000e-05
2.4251843000e+03    2.5123100000e-05
2.4252675000e+03    3.2837500000e-04
2.4261359000e+03    5.5464700000e-05
2.4262961000e+03    6.6074440000e-04
2.4266929000e+03    8.5252960000e-04
2.4267682000e+03    1.1356974000e-03
2.4269362000e+03    2.7605073000e-03
2.4270705000e+03    2.7783710000e-04
2.4274758000e+03    3.4800900000e-04
2.4278733000e+03    3.1828460000e-04
2.4279904000e+03    1.8394152000e-03
2.4283051000e+03    1.5213637000e-03
2.4284323000e+03    8.2677800000e-04
2.4286881000e+03    6.6563550000e-04
2.4294673000e+03    6.1706090000e-04
2.4298260000e+03    1.3683900000e-05
2.4299899000e+03    7.5204900000e-05
2.4302106000e+03    3.8836200000e-05
2.4304969000e+03    5.4566000000e-05
2.4308809000e+03    1.2363510000e-04
2.4311420000e+03    1.3348740000e-04
2.4314171000e+03    4.6454530000e-04
2.4317290000e+03    5.2582400000e-05
2.4318986000e+03    1.0540280000e-04
2.4325896000e+03    8.3404290000e-04
2.4328292000e+03    1.2349910000e-04
2.4330124000e+03    2.5676000000e-05
2.4333839000e+03    3.7121470000e-04
2.4342297000e+03    3.8199300000e-05
2.4342982000e+03    9.0402800000e-05
2.4349730000e+03    1.3321300000e-05
2.4351244000e+03    8.9895000000e-06
2.4354695000e+03    1.8655700000e-05
2.4355421000e+03    1.3395800000e-05
