# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 40 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4867374000e+03    6.0864799000e-03
2.4848004000e+03    1.3132265000e-03
2.4845725000e+03    6.2010000000e-07
2.4845639000e+03    5.2908000000e-06
2.4845600000e+03    3.4713302000e-03
2.4841787000e+03    8.6699520000e-04
2.4841776000e+03    6.4894200000e-05
2.4837632000e+03    2.4756600000e-05
2.4835323000e+03    6.5000000000e-09
2.4833574000e+03    8.7861200000e-05
2.4829625000e+03    6.2729890000e-04
2.4824216000e+03    2.5088780000e-04
2.4820172000e+03    5.6768830000e-04
2.4817345000e+03    6.0000000000e-10
2.4814180000e+03    1.6408290000e-04
2.4812020000e+03    2.3633720000e-04
2.4810181000e+03    1.5272074000e-03
2.4800259000e+03    6.0000000000e-10
2.4796760000e+03    2.1022850000e-04
2.4773141000e+03    7.1499000000e-06
2.4772664000e+03    9.8518000000e-06
2.4766592000e+03    3.0227900000e-05
2.4758558000e+03    1.2228210000e-04
2.4745307000e+03    3.6837000000e-05
2.4730552000e+03    1.2361730000e-04
2.4720593000e+03    6.4394500000e-05
2.4708876000e+03    7.2833500000e-05
2.4700844000e+03    1.1226660000e-04
2.3168704000e+03    8.8875856900e-02
2.3167852000e+03    8.9241882500e-02
2.3167396000e+03    8.9720230700e-02
2.2666674000e+03    8.7480000000e-07
2.2162907000e+03    0.0000000000e+00
2.2162904000e+03    0.0000000000e+00
2.2155375000e+03    0.0000000000e+00
2.2155372000e+03    0.0000000000e+00
2.2152059000e+03    0.0000000000e+00
2.2152057000e+03    0.0000000000e+00
2.2134556000e+03    1.0000000000e-10
2.2134547000e+03    1.0000000000e-10
