# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4199166000e+03    3.9825200000e-03
2.4210453000e+03    7.2176100000e-04
2.4214756000e+03    2.1668519000e-03
2.4225341000e+03    2.3188210000e-04
2.4228424000e+03    1.1448570000e-04
2.4229898000e+03    1.1947660000e-04
2.4232137000e+03    3.6684170000e-04
2.4234300000e+03    4.5639300000e-05
2.4236056000e+03    1.4115510000e-04
2.4236904000e+03    6.8704600000e-05
2.4238951000e+03    3.3621000000e-05
2.4240197000e+03    2.5431570000e-04
2.4242412000e+03    2.1173150000e-04
2.4244650000e+03    1.0285710000e-04
2.4246166000e+03    3.9903900000e-05
2.4248753000e+03    2.1064230000e-04
2.4248994000e+03    2.5150620000e-04
2.4250499000e+03    2.2212680000e-04
2.4251756000e+03    2.0911690000e-04
2.4253099000e+03    7.2277400000e-05
2.4253721000e+03    1.1107800000e-05
2.4254455000e+03    1.1811530000e-04
2.4255486000e+03    4.5375900000e-04
2.4256150000e+03    5.8898800000e-05
2.4260401000e+03    4.2049800000e-05
2.4262421000e+03    6.2624560000e-04
2.4263030000e+03    1.9353440000e-04
2.4267433000e+03    1.2083769000e-03
2.4272866000e+03    1.4049770000e-04
2.4274243000e+03    2.9359330000e-04
2.4275388000e+03    6.1442710000e-04
2.4276691000e+03    9.6377020000e-04
2.4278261000e+03    2.1985290000e-04
2.4280629000e+03    2.2855160000e-04
2.4283012000e+03    2.3038810000e-04
2.4283591000e+03    5.9547290000e-04
2.4285056000e+03    9.0087600000e-04
2.4292211000e+03    5.7685290000e-04
2.4292873000e+03    2.3885530000e-04
2.4296742000e+03    2.4821160000e-04
2.4297381000e+03    1.0252300000e-05
2.4298432000e+03    1.5966940000e-04
2.4299977000e+03    9.1509430000e-04
2.4301099000e+03    5.8957560000e-04
2.4304401000e+03    3.4387500000e-04
2.4307205000e+03    6.3547370000e-04
2.4307547000e+03    4.7553900000e-04
2.4312201000e+03    4.0593060000e-04
2.4313510000e+03    4.4602490000e-04
2.4314524000e+03    3.8043470000e-04
