# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197418000e+03    3.9072572000e-03
2.4205737000e+03    1.3636290000e-03
2.4210430000e+03    6.9895600000e-05
2.4213529000e+03    6.0822290000e-04
2.4220753000e+03    8.2497760000e-04
2.4226512000e+03    8.6597690000e-04
2.4230115000e+03    2.6461000000e-04
2.4236499000e+03    1.2002730000e-04
2.4237346000e+03    3.4236640000e-04
2.4237882000e+03    3.4580400000e-05
2.4241526000e+03    3.4070400000e-05
2.4245923000e+03    8.7251000000e-06
2.4246684000e+03    6.9381600000e-05
2.4251589000e+03    2.6883610000e-04
2.4254291000e+03    1.3598330000e-04
2.4258782000e+03    3.3726800000e-04
2.4260340000e+03    1.8662960000e-04
2.4269394000e+03    6.0451570000e-04
2.4270307000e+03    8.5361350000e-04
2.4274559000e+03    2.0184019000e-03
2.4278581000e+03    2.1152570000e-03
2.4279721000e+03    2.3220301000e-03
2.4282647000e+03    1.0718042000e-03
2.4286874000e+03    4.9400070000e-04
2.4290459000e+03    2.4644600000e-04
2.4293123000e+03    5.7415310000e-04
2.4295099000e+03    2.0134760000e-04
2.4297131000e+03    1.1916430000e-04
2.4301790000e+03    8.1012690000e-04
2.4307151000e+03    2.4314240000e-04
2.4310244000e+03    6.4106500000e-05
2.4313753000e+03    2.9130100000e-05
2.4321104000e+03    4.5599060000e-04
2.4326481000e+03    3.5990600000e-05
2.4327229000e+03    1.3121800000e-05
2.4327975000e+03    2.4222430000e-04
2.4331885000e+03    7.2574700000e-05
2.4333081000e+03    1.2852600000e-04
2.4336546000e+03    1.4816200000e-05
2.4338094000e+03    7.7824400000e-05
2.4338966000e+03    7.9901000000e-06
2.4341184000e+03    1.8581000000e-06
2.4344797000e+03    1.2425140000e-04
2.4346608000e+03    1.5905860000e-04
2.4348764000e+03    1.6165530000e-04
2.4352713000e+03    5.0905650000e-04
2.4353485000e+03    2.6296360000e-04
2.4361363000e+03    2.7989300000e-04
2.4365490000e+03    1.3381040000e-04
2.4366621000e+03    1.0021930000e-04
