# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197983000e+03    4.0656993000e-03
2.4211124000e+03    2.7328099000e-03
2.4219138000e+03    9.2887100000e-05
2.4227041000e+03    8.6515300000e-05
2.4227902000e+03    1.1346770000e-04
2.4230774000e+03    8.2010900000e-05
2.4236466000e+03    9.1337400000e-05
2.4238052000e+03    3.3782530000e-04
2.4242379000e+03    6.0847900000e-05
2.4243027000e+03    2.0992220000e-04
2.4247815000e+03    1.0835780000e-04
2.4252254000e+03    1.5662240000e-04
2.4255037000e+03    9.0360000000e-06
2.4257307000e+03    2.3694100000e-05
2.4263433000e+03    2.0510725000e-03
2.4269440000e+03    1.9466536000e-03
2.4270009000e+03    2.4582819000e-03
2.4275504000e+03    2.2829474000e-03
2.4279320000e+03    1.0991413000e-03
2.4286202000e+03    2.0029073000e-03
2.4286573000e+03    6.3643300000e-05
2.4286623000e+03    7.0451470000e-04
2.4305581000e+03    8.1285300000e-05
2.4312625000e+03    4.8092860000e-04
2.4312862000e+03    2.2239880000e-04
2.4314928000e+03    1.7732300000e-04
2.4323873000e+03    5.9779000000e-06
2.4329217000e+03    5.8310610000e-04
2.4332901000e+03    1.9842910000e-04
2.4341448000e+03    6.9476300000e-05
2.4342951000e+03    2.1809500000e-05
2.4347984000e+03    7.3321200000e-05
2.4352779000e+03    2.5771200000e-05
2.4360418000e+03    2.0616800000e-05
2.4362019000e+03    1.4191200000e-05
2.4366595000e+03    1.1947500000e-04
2.4368300000e+03    1.4418080000e-04
2.4368691000e+03    2.2817900000e-05
2.4369600000e+03    1.4572800000e-05
2.4371448000e+03    3.6237100000e-05
2.4376860000e+03    5.9223900000e-05
2.4379683000e+03    5.1039260000e-04
2.4383981000e+03    4.9883860000e-04
2.4392939000e+03    1.7015270000e-04
2.4400730000e+03    3.3915340000e-04
2.4402289000e+03    2.1530200000e-05
2.4428447000e+03    4.1659720000e-04
2.4428574000e+03    6.3572770000e-04
2.4442928000e+03    2.0212500000e-04
2.4451625000e+03    5.8965470000e-04
