# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 32 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4875652000e+03    1.2253770000e-04
2.4873933000e+03    2.3486300000e-04
2.4869812000e+03    1.5789645000e-03
2.4864307000e+03    3.6610782000e-03
2.4859604000e+03    2.0450941000e-03
2.4841614000e+03    3.5897392000e-03
2.4834513000e+03    4.4588000000e-05
2.4833951000e+03    5.5578570000e-04
2.4824808000e+03    1.2626848000e-03
2.4821455000e+03    6.3598750000e-04
2.4816176000e+03    3.4996750000e-04
2.4804646000e+03    3.4849390000e-04
2.4791981000e+03    1.3569830000e-04
2.4785058000e+03    3.3521910000e-04
2.4777876000e+03    4.8036040000e-04
2.4761669000e+03    3.5196800000e-05
2.4729458000e+03    1.6245500000e-04
2.4716455000e+03    2.2193020000e-04
2.4695924000e+03    3.0500000000e-07
2.4666562000e+03    7.1210700000e-05
2.4659702000e+03    7.0357000000e-06
2.3169107000e+03    8.8834414500e-02
2.3168377000e+03    8.9521136500e-02
2.3168025000e+03    8.9249080600e-02
2.2667127000e+03    4.4590000000e-07
2.2142932000e+03    1.0000000000e-10
2.2142665000e+03    1.0000000000e-10
2.2136349000e+03    0.0000000000e+00
2.2135061000e+03    1.0000000000e-10
2.1030583000e+03    0.0000000000e+00
2.1017652000e+03    0.0000000000e+00
1.9734530000e+03    0.0000000000e+00
