# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4194093000e+03    1.0083685000e-03
2.4205972000e+03    3.7241551000e-03
2.4214359000e+03    2.3067383000e-03
2.4221066000e+03    1.6899580000e-04
2.4228103000e+03    2.8473600000e-05
2.4231070000e+03    1.5538100000e-05
2.4233913000e+03    2.9460900000e-05
2.4235442000e+03    2.1807420000e-04
2.4237262000e+03    3.8927500000e-05
2.4238924000e+03    7.5761000000e-05
2.4240058000e+03    7.8264200000e-05
2.4243219000e+03    4.3362500000e-04
2.4243611000e+03    1.1832700000e-05
2.4245492000e+03    9.6366000000e-06
2.4246510000e+03    1.8069160000e-04
2.4247724000e+03    1.3923440000e-04
2.4250682000e+03    4.9118990000e-04
2.4254745000e+03    3.9577520000e-04
2.4256693000e+03    4.8964200000e-05
2.4258740000e+03    2.3497430000e-04
2.4260172000e+03    6.3716500000e-05
2.4261163000e+03    1.5485460000e-04
2.4262557000e+03    1.9492850000e-04
2.4264613000e+03    1.1122900000e-05
2.4267043000e+03    6.0977120000e-04
2.4271502000e+03    2.2698968000e-03
2.4273026000e+03    7.6164740000e-04
2.4274903000e+03    2.9261280000e-04
2.4276997000e+03    5.3653460000e-04
2.4279607000e+03    3.7387480000e-04
2.4282005000e+03    2.4726500000e-04
2.4283394000e+03    5.9542800000e-04
2.4283992000e+03    8.2220950000e-04
2.4285249000e+03    4.1825230000e-04
2.4287138000e+03    6.2748640000e-04
2.4291526000e+03    7.0234400000e-05
2.4293058000e+03    7.7293600000e-04
2.4295726000e+03    4.9855830000e-04
2.4298804000e+03    4.8532790000e-04
2.4303530000e+03    4.4543370000e-04
2.4305363000e+03    2.4413070000e-04
2.4306260000e+03    1.8720420000e-04
2.4308956000e+03    1.1175210000e-04
2.4309198000e+03    4.4662330000e-04
2.4312034000e+03    2.1541460000e-04
2.4316818000e+03    3.0035490000e-04
2.4318423000e+03    1.5360270000e-04
2.4320181000e+03    1.3956230000e-04
2.4320994000e+03    1.1302620000e-04
2.4323928000e+03    7.8827200000e-05
