# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4176814000e+03    2.3242988000e-03
2.4184303000e+03    8.5964800000e-05
2.4189814000e+03    5.4853400000e-05
2.4191425000e+03    8.9473900000e-05
2.4196073000e+03    2.3604900000e-05
2.4202976000e+03    1.6971660000e-04
2.4206707000e+03    2.9273506000e-03
2.4211979000e+03    1.7789200000e-05
2.4215327000e+03    9.0779000000e-06
2.4215990000e+03    1.3464900000e-05
2.4218668000e+03    1.2103300000e-05
2.4221281000e+03    2.2737700000e-05
2.4222123000e+03    6.7497500000e-05
2.4222339000e+03    1.1594460000e-04
2.4223118000e+03    1.3257000000e-05
2.4227050000e+03    6.1430800000e-05
2.4227954000e+03    1.2079380000e-04
2.4230015000e+03    6.0352700000e-05
2.4231283000e+03    1.9587000000e-06
2.4233411000e+03    8.1445100000e-05
2.4234795000e+03    5.1795000000e-06
2.4237155000e+03    1.5128300000e-05
2.4237496000e+03    3.5393300000e-05
2.4239581000e+03    6.1819500000e-05
2.4239992000e+03    1.7420900000e-05
2.4240614000e+03    9.6649000000e-06
2.4241103000e+03    4.5009900000e-05
2.4241681000e+03    6.1057500000e-05
2.4243162000e+03    1.4126540000e-04
2.4245390000e+03    5.6472900000e-05
2.4246604000e+03    1.4002000000e-05
2.4247968000e+03    2.9678920000e-04
2.4249020000e+03    4.9022030000e-04
2.4250298000e+03    2.4703300000e-04
2.4252144000e+03    8.6203880000e-04
2.4254227000e+03    6.2260910000e-04
2.4255904000e+03    3.8638880000e-04
2.4256801000e+03    1.8392580000e-04
2.4257211000e+03    1.1049520000e-04
2.4260286000e+03    1.7389720000e-04
2.4261824000e+03    2.9337370000e-04
2.4263365000e+03    6.9753590000e-04
2.4264388000e+03    3.3617260000e-04
2.4264548000e+03    1.7089017000e-03
2.4265491000e+03    6.2332670000e-04
2.4266288000e+03    3.8038040000e-04
2.4268651000e+03    5.2996750000e-04
2.4270030000e+03    4.3587230000e-04
2.4273724000e+03    4.7828770000e-04
2.4275293000e+03    1.0205994000e-03
