# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4177781000e+03    2.2895788000e-03
2.4193596000e+03    3.0423480000e-04
2.4195899000e+03    1.9698100000e-05
2.4197480000e+03    2.9081990000e-04
2.4199525000e+03    1.5103370000e-04
2.4207095000e+03    2.2554351000e-03
2.4213102000e+03    8.8509000000e-06
2.4216335000e+03    7.5983000000e-06
2.4217568000e+03    1.3925190000e-04
2.4220127000e+03    1.0043600000e-05
2.4221100000e+03    1.5129900000e-05
2.4221891000e+03    7.0492000000e-06
2.4224983000e+03    5.9787000000e-06
2.4225956000e+03    2.1340220000e-04
2.4226923000e+03    5.9384800000e-05
2.4229316000e+03    8.8088700000e-05
2.4230611000e+03    1.6981340000e-04
2.4231306000e+03    6.5694600000e-05
2.4231733000e+03    1.3680000000e-05
2.4232003000e+03    4.5462600000e-05
2.4233369000e+03    4.4257500000e-05
2.4234550000e+03    1.2531610000e-04
2.4235799000e+03    2.3672900000e-05
2.4236540000e+03    1.5711600000e-05
2.4238513000e+03    1.7177600000e-05
2.4239464000e+03    4.8402800000e-05
2.4241830000e+03    6.0208600000e-05
2.4243706000e+03    2.8874400000e-05
2.4245709000e+03    3.7076300000e-05
2.4247143000e+03    1.1235370000e-04
2.4248420000e+03    7.1723720000e-04
2.4249698000e+03    1.0472251000e-03
2.4251438000e+03    7.2378230000e-04
2.4252820000e+03    1.1666310000e-04
2.4260234000e+03    3.2669490000e-04
2.4260600000e+03    1.6176120000e-04
2.4262805000e+03    1.3319562000e-03
2.4263685000e+03    3.3181530000e-04
2.4265226000e+03    3.1344000000e-04
2.4265676000e+03    4.0971000000e-04
2.4268228000e+03    1.6079460000e-04
2.4269218000e+03    7.7298200000e-04
2.4270468000e+03    6.9813990000e-04
2.4271228000e+03    2.6487130000e-04
2.4272893000e+03    1.2227674000e-03
2.4274101000e+03    1.2448984000e-03
2.4275669000e+03    5.5090380000e-04
2.4279192000e+03    3.1808230000e-04
2.4280211000e+03    1.5807590000e-04
2.4281258000e+03    4.4467520000e-04
