# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 60 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4857159000e+03    5.9321684000e-03
2.4856968000e+03    4.3567598000e-03
2.4848847000e+03    1.2453545000e-03
2.4846782000e+03    3.1946420000e-04
2.4842145000e+03    4.2098940000e-04
2.4833735000e+03    7.2642000000e-06
2.4821805000e+03    4.1800000000e-07
2.4816733000e+03    3.0107100000e-05
2.4813595000e+03    9.5867580000e-04
2.4811269000e+03    1.7475553000e-03
2.4810480000e+03    2.9753890000e-04
2.4803486000e+03    1.7830300000e-05
2.4799728000e+03    2.3300000000e-08
2.4796773000e+03    3.6235100000e-05
2.4794441000e+03    2.2333760000e-04
2.4794106000e+03    8.2689400000e-05
2.4790594000e+03    3.9367000000e-06
2.4789667000e+03    1.7237800000e-05
2.4787390000e+03    4.6359400000e-05
2.4784983000e+03    4.3435300000e-05
2.4779116000e+03    1.4763300000e-05
2.4772087000e+03    6.6550000000e-07
2.4770594000e+03    4.0817000000e-06
2.4765462000e+03    1.4979000000e-06
2.4762527000e+03    1.4925000000e-06
2.4755615000e+03    2.6483600000e-05
2.4751007000e+03    9.9560000000e-07
2.4744249000e+03    7.0080000000e-07
2.4740969000e+03    1.1619500000e-05
2.4732481000e+03    1.8360000000e-07
2.4723570000e+03    6.0981600000e-05
2.4712319000e+03    3.2425350000e-04
2.4707615000e+03    1.3540000000e-07
2.4702218000e+03    1.1204200000e-05
2.4693962000e+03    4.1454900000e-05
2.4679834000e+03    7.3281000000e-06
2.4671933000e+03    1.2242000000e-06
2.4644561000e+03    2.2000200000e-05
2.4629539000e+03    1.0400000000e-07
2.4623075000e+03    7.3946000000e-06
2.4600691000e+03    5.0900000000e-08
2.3167899000e+03    8.9153377000e-02
2.3167735000e+03    8.8927382300e-02
2.3166384000e+03    8.9443527500e-02
2.2666059000e+03    6.4340000000e-07
2.2133359000e+03    0.0000000000e+00
2.2131235000e+03    0.0000000000e+00
2.2130815000e+03    0.0000000000e+00
2.2128901000e+03    0.0000000000e+00
2.2128043000e+03    0.0000000000e+00
2.2119032000e+03    0.0000000000e+00
2.2117376000e+03    0.0000000000e+00
2.2116109000e+03    0.0000000000e+00
2.2094024000e+03    1.0000000000e-10
2.2092227000e+03    0.0000000000e+00
2.0987200000e+03    0.0000000000e+00
2.0985201000e+03    0.0000000000e+00
2.0984914000e+03    0.0000000000e+00
2.0975072000e+03    0.0000000000e+00
1.9670095000e+03    0.0000000000e+00
