# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4173557000e+03    2.5319989000e-03
2.4202939000e+03    6.0390560000e-04
2.4204074000e+03    2.0337992000e-03
2.4208245000e+03    9.4824900000e-05
2.4212035000e+03    5.7226600000e-05
2.4216210000e+03    2.9575900000e-05
2.4219641000e+03    3.0000250000e-04
2.4223186000e+03    6.4469990000e-04
2.4224831000e+03    1.7370800000e-05
2.4230046000e+03    7.6492000000e-06
2.4231710000e+03    1.6178300000e-05
2.4232120000e+03    2.5127900000e-05
2.4235075000e+03    5.6431700000e-05
2.4236256000e+03    5.7663900000e-05
2.4237379000e+03    6.0563000000e-06
2.4238970000e+03    3.9549100000e-05
2.4242763000e+03    4.2960500000e-05
2.4245802000e+03    1.6327400000e-05
2.4246507000e+03    3.8502600000e-05
2.4249276000e+03    7.1707000000e-06
2.4251839000e+03    2.8897220000e-04
2.4251858000e+03    1.4036440000e-04
2.4253249000e+03    4.0443400000e-05
2.4254547000e+03    4.6952000000e-05
2.4257180000e+03    2.3946700000e-05
2.4259593000e+03    1.1730111000e-03
2.4261266000e+03    4.7414350000e-04
2.4262197000e+03    8.8228840000e-04
2.4264193000e+03    9.3727370000e-04
2.4266618000e+03    1.5583908000e-03
2.4266868000e+03    1.6457132000e-03
2.4268589000e+03    6.6157020000e-04
2.4268908000e+03    6.8192300000e-05
2.4271578000e+03    8.0627670000e-04
2.4275169000e+03    1.2378850000e-04
2.4276145000e+03    3.9887391000e-03
2.4277112000e+03    1.2456360000e-04
2.4279584000e+03    4.0661900000e-05
2.4283262000e+03    3.0850300000e-05
2.4285268000e+03    2.4014600000e-05
2.4288365000e+03    3.0131850000e-04
2.4291049000e+03    1.6303870000e-04
2.4293984000e+03    7.0440900000e-05
2.4296738000e+03    1.0160660000e-04
2.4297389000e+03    3.0032600000e-05
2.4298631000e+03    6.6431400000e-05
2.4300827000e+03    5.1102400000e-05
2.4302038000e+03    4.7472300000e-05
2.4303644000e+03    1.8370600000e-05
2.4305088000e+03    6.1103400000e-05
