# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4173630000e+03    2.5317195000e-03
2.4203384000e+03    6.1638120000e-04
2.4203872000e+03    2.0226418000e-03
2.4208726000e+03    1.0406770000e-04
2.4218484000e+03    3.5757900000e-04
2.4223498000e+03    6.8055540000e-04
2.4225672000e+03    2.0139900000e-05
2.4228835000e+03    6.3941000000e-06
2.4232313000e+03    2.7730700000e-05
2.4233496000e+03    9.5830000000e-06
2.4237989000e+03    5.3360100000e-05
2.4241485000e+03    4.1802700000e-05
2.4244021000e+03    2.5348900000e-05
2.4244707000e+03    6.7444000000e-06
2.4247184000e+03    3.7500800000e-05
2.4250045000e+03    6.4295700000e-05
2.4251969000e+03    5.6696040000e-04
2.4253606000e+03    4.9987200000e-05
2.4255399000e+03    2.8024900000e-04
2.4257957000e+03    9.4647200000e-05
2.4260603000e+03    7.5659240000e-04
2.4261819000e+03    2.4631890000e-04
2.4264587000e+03    2.7891792000e-03
2.4265918000e+03    1.6023100000e-03
2.4267731000e+03    1.4053806000e-03
2.4268810000e+03    4.4117470000e-04
2.4271627000e+03    1.9350940000e-04
2.4275374000e+03    4.2229790000e-03
2.4276962000e+03    2.2097810000e-04
2.4280056000e+03    4.8136400000e-05
2.4283946000e+03    1.7047020000e-04
2.4285750000e+03    4.3749460000e-04
2.4289853000e+03    8.0641700000e-05
2.4291056000e+03    3.3198000000e-06
2.4291851000e+03    6.3262900000e-05
2.4294596000e+03    2.5792000000e-05
2.4295868000e+03    3.5361900000e-05
2.4300113000e+03    1.1262820000e-04
2.4303357000e+03    4.3857300000e-05
2.4310597000e+03    7.9561500000e-05
2.4311889000e+03    1.0017030000e-04
2.4315457000e+03    4.7613900000e-05
2.4319413000e+03    1.7788900000e-05
2.4323924000e+03    1.3444530000e-04
2.4332782000e+03    6.8104000000e-05
2.4333793000e+03    5.8038000000e-06
2.4338479000e+03    8.1328900000e-05
2.4342927000e+03    3.5374600000e-05
2.4346212000e+03    2.3019900000e-05
2.4348716000e+03    1.4943050000e-04
