# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 44 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4880073000e+03    2.8136163000e-03
2.4879051000e+03    4.0632930000e-04
2.4859791000e+03    2.4621759000e-03
2.4844869000e+03    8.9952310000e-04
2.4844376000e+03    2.5975307000e-03
2.4842385000e+03    1.1442960000e-04
2.4836760000e+03    2.5117718000e-03
2.4834184000e+03    2.7923700000e-05
2.4828153000e+03    3.2917100000e-05
2.4822521000e+03    4.6148000000e-06
2.4820066000e+03    1.2702100000e-05
2.4819272000e+03    2.0328708000e-03
2.4817115000e+03    7.0010080000e-04
2.4813509000e+03    1.4620000000e-06
2.4808829000e+03    4.3344740000e-04
2.4807493000e+03    3.0129000000e-05
2.4799655000e+03    2.7452500000e-05
2.4793189000e+03    1.3597070000e-04
2.4787942000e+03    8.0852600000e-05
2.4786401000e+03    1.6630430000e-04
2.4767680000e+03    8.8970000000e-06
2.4766187000e+03    1.7802480000e-04
2.4739374000e+03    1.0284460000e-04
2.4732636000e+03    1.5061000000e-06
2.4717625000e+03    1.8756870000e-04
2.4695711000e+03    4.4601600000e-05
2.4607407000e+03    8.1600000000e-08
2.4606367000e+03    2.8500000000e-08
2.4603021000e+03    2.3130000000e-07
2.4599906000e+03    2.2480000000e-07
2.3169114000e+03    8.8984415000e-02
2.3168117000e+03    8.9382432800e-02
2.3167663000e+03    8.9347343600e-02
2.2667026000e+03    1.2907000000e-06
2.2157274000e+03    0.0000000000e+00
2.2143195000e+03    2.0000000000e-10
2.2136733000e+03    0.0000000000e+00
2.2136189000e+03    0.0000000000e+00
2.2136079000e+03    0.0000000000e+00
2.2134591000e+03    0.0000000000e+00
1.8207120000e+03    0.0000000000e+00
1.8206533000e+03    0.0000000000e+00
1.8204674000e+03    0.0000000000e+00
1.8200680000e+03    0.0000000000e+00
