# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 34 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4881304000e+03    1.9392337700e-02
2.4872587000e+03    7.3327130000e-04
2.4864440000e+03    1.7044959200e-02
2.4862994000e+03    8.6994000000e-06
2.4860012000e+03    1.5661497000e-03
2.4854630000e+03    6.9698968000e-03
2.4847638000e+03    4.8331502000e-03
2.4845740000e+03    2.1014044100e-02
2.4840337000e+03    1.1764852000e-03
2.4835369000e+03    1.1982560300e-02
2.4828988000e+03    1.8163434000e-03
2.4824321000e+03    8.0260610000e-04
2.4822645000e+03    9.4366392000e-03
2.4815372000e+03    1.4359296000e-03
2.4806125000e+03    1.3807500000e-03
2.4800336000e+03    4.5073303000e-03
2.4779112000e+03    6.1545810000e-04
2.4768374000e+03    4.5177540000e-04
2.4746267000e+03    4.6829270000e-04
2.4733967000e+03    5.0490700000e-05
2.4723757000e+03    1.0480024000e-03
2.4713314000e+03    5.3835270000e-04
2.4705384000e+03    1.4451530000e-04
2.4691041000e+03    2.0919890000e-04
2.3169118000e+03    6.0482472250e-01
2.3168166000e+03    5.9607336020e-01
2.3167655000e+03    3.4938317580e-01
2.2667022000e+03    1.5984100000e-05
2.2156652000e+03    0.0000000000e+00
2.2155855000e+03    0.0000000000e+00
2.2153960000e+03    0.0000000000e+00
2.2143485000e+03    4.0000000000e-10
2.2140959000e+03    0.0000000000e+00
2.2139759000e+03    0.0000000000e+00
