# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 36 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4881175000e+03    2.4086960000e-03
2.4873088000e+03    7.0982300000e-05
2.4859401000e+03    3.3281233000e-03
2.4850959000e+03    2.0751508000e-03
2.4848224000e+03    1.4033180000e-04
2.4843453000e+03    6.0857110000e-04
2.4841640000e+03    4.3780520000e-04
2.4837076000e+03    1.2464935000e-03
2.4835871000e+03    9.4646140000e-04
2.4832299000e+03    2.2161800000e-05
2.4828930000e+03    2.1946800000e-05
2.4826233000e+03    2.4129920000e-04
2.4825708000e+03    1.8790217000e-03
2.4816762000e+03    4.6769150000e-04
2.4808414000e+03    2.4372700000e-04
2.4803446000e+03    1.2919493000e-03
2.4784938000e+03    1.2982380000e-04
2.4773025000e+03    1.3364310000e-04
2.4757915000e+03    1.0650220000e-04
2.4751721000e+03    3.7575000000e-06
2.4736267000e+03    7.8799500000e-05
2.4726981000e+03    3.3078800000e-05
2.4717893000e+03    1.3037130000e-04
2.4698453000e+03    4.8741600000e-05
2.3168848000e+03    8.8952174500e-02
2.3167966000e+03    8.9526799800e-02
2.3167421000e+03    8.9274598000e-02
2.2666830000e+03    1.0500000000e-06
2.2168713000e+03    0.0000000000e+00
2.2166540000e+03    0.0000000000e+00
2.2160855000e+03    0.0000000000e+00
2.2160079000e+03    0.0000000000e+00
2.2156580000e+03    0.0000000000e+00
2.2156351000e+03    0.0000000000e+00
2.2155245000e+03    0.0000000000e+00
2.2146896000e+03    2.0000000000e-10
