# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4198870000e+03    3.2783239300e-02
2.4203925000e+03    4.7812131000e-03
2.4208494000e+03    3.3253070000e-04
2.4211109000e+03    8.3497003000e-03
2.4222030000e+03    4.1264200000e-04
2.4224125000e+03    3.5237640000e-04
2.4227449000e+03    1.9516144000e-03
2.4229133000e+03    1.2315297000e-03
2.4230306000e+03    5.1361100000e-04
2.4232521000e+03    9.4321980000e-04
2.4233227000e+03    2.7630990000e-04
2.4233602000e+03    1.9244810000e-04
2.4246300000e+03    2.2730560000e-03
2.4249225000e+03    4.0940500000e-05
2.4250120000e+03    1.4807381000e-03
2.4255585000e+03    6.2715400000e-05
2.4259318000e+03    5.4935740000e-04
2.4264708000e+03    3.9419008000e-03
2.4266654000e+03    1.3339285000e-03
2.4272820000e+03    1.9994301000e-02
2.4273325000e+03    3.6547114000e-03
2.4277724000e+03    6.5790056000e-03
2.4277813000e+03    3.4483504300e-02
2.4283079000e+03    6.3253927000e-03
2.4285320000e+03    1.2199960000e-04
2.4286966000e+03    3.5881750000e-04
2.4287348000e+03    1.4019990000e-04
2.4289454000e+03    1.0178281000e-03
2.4295356000e+03    2.3723591000e-03
2.4296324000e+03    8.0814040000e-04
2.4296782000e+03    4.3643678000e-03
2.4309391000e+03    9.7413350000e-04
2.4312784000e+03    6.8250440000e-04
2.4322312000e+03    1.0098666000e-03
2.4326030000e+03    1.2760756000e-03
2.4329605000e+03    5.2148951000e-03
2.4329818000e+03    1.5119090000e-04
2.4337125000e+03    1.4934793000e-03
2.4338289000e+03    4.0546180000e-04
2.4346551000e+03    6.9109380000e-04
2.4352840000e+03    1.0184505000e-03
2.4355169000e+03    9.2157500000e-05
2.4356901000e+03    1.5065860000e-04
2.4361999000e+03    2.0570955000e-03
2.4362328000e+03    1.0774100000e-05
2.4369974000e+03    3.0800078000e-03
2.4377378000e+03    4.1047748000e-03
2.4377818000e+03    8.2506100000e-05
2.4381141000e+03    1.7494870000e-04
2.4391763000e+03    4.1365920000e-04
