# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 44 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4884367000e+03    5.1099250000e-04
2.4875958000e+03    2.8014142000e-03
2.4860813000e+03    2.7520590000e-04
2.4854384000e+03    2.5843333000e-03
2.4852641000e+03    2.5869210000e-04
2.4846968000e+03    4.5744570000e-04
2.4846047000e+03    8.9371200000e-05
2.4843421000e+03    3.1989003000e-03
2.4833103000e+03    1.3765014000e-03
2.4832355000e+03    2.9282450000e-04
2.4829929000e+03    2.1465720000e-04
2.4827306000e+03    3.6735020000e-04
2.4820243000e+03    3.9475060000e-04
2.4818033000e+03    1.0425121000e-03
2.4816369000e+03    1.3791000000e-06
2.4815139000e+03    9.7464040000e-04
2.4811304000e+03    1.8147000000e-05
2.4800092000e+03    5.2115900000e-05
2.4798089000e+03    3.1703550000e-04
2.4790770000e+03    2.4895620000e-04
2.4778677000e+03    2.7947200000e-04
2.4770638000e+03    3.7710600000e-05
2.4753303000e+03    1.6595000000e-06
2.4745637000e+03    5.9000300000e-05
2.4738486000e+03    7.2376900000e-05
2.4728435000e+03    3.6783000000e-06
2.4717979000e+03    1.5907270000e-04
2.4698422000e+03    5.0260300000e-05
2.4647527000e+03    7.8000000000e-09
2.4642559000e+03    1.2172000000e-06
2.3168741000e+03    8.8954912900e-02
2.3167816000e+03    8.9507856000e-02
2.3167383000e+03    8.9294587800e-02
2.2666757000e+03    1.0608000000e-06
2.2157042000e+03    0.0000000000e+00
2.2156717000e+03    0.0000000000e+00
2.2155923000e+03    0.0000000000e+00
2.2154579000e+03    0.0000000000e+00
2.2149720000e+03    0.0000000000e+00
2.2143934000e+03    2.0000000000e-10
2.2142203000e+03    0.0000000000e+00
2.2139838000e+03    0.0000000000e+00
1.9712416000e+03    0.0000000000e+00
1.9706753000e+03    0.0000000000e+00
