# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4198837000e+03    6.0111008300e-02
2.4206430000e+03    1.3063550500e-02
2.4209743000e+03    3.1141322800e-02
2.4213673000e+03    2.4614049500e-02
2.4221247000e+03    1.1135249000e-03
2.4224500000e+03    5.2334544000e-03
2.4227576000e+03    6.3260848000e-03
2.4228814000e+03    9.6968000000e-06
2.4233436000e+03    3.3865037000e-03
2.4239781000e+03    3.7298944000e-03
2.4241535000e+03    5.8927981000e-03
2.4249443000e+03    7.2924200000e-03
2.4249882000e+03    4.3276704000e-03
2.4254437000e+03    2.2855679000e-03
2.4257778000e+03    1.1573961500e-02
2.4262390000e+03    2.0742868800e-02
2.4265075000e+03    1.0908917700e-02
2.4267817000e+03    4.6561179400e-02
2.4271495000e+03    3.4121918100e-02
2.4278866000e+03    3.0704618500e-02
2.4281026000e+03    4.3205460000e-04
2.4283821000e+03    5.2507942000e-03
2.4284795000e+03    1.5208367000e-03
2.4287815000e+03    1.1920018700e-02
2.4290106000e+03    3.0855018100e-02
2.4297774000e+03    3.1282772900e-02
2.4301659000e+03    4.1993372600e-02
2.4304428000e+03    3.5714710000e-03
2.4309058000e+03    1.6302321000e-03
2.4310208000e+03    4.0721316000e-03
2.4321661000e+03    1.8469847000e-03
2.4326084000e+03    5.8515940000e-03
2.4327778000e+03    1.4027216000e-03
2.4330134000e+03    6.3575558000e-03
2.4332483000e+03    1.0895759000e-03
2.4336567000e+03    7.7538613000e-03
2.4340398000e+03    1.8753907000e-03
2.4340750000e+03    2.3130721000e-03
2.4348000000e+03    4.7782480000e-04
2.4353740000e+03    6.5127067000e-03
2.4360090000e+03    2.5183590000e-04
2.4361049000e+03    2.0321674000e-03
2.4364733000e+03    1.5342721000e-03
2.4366154000e+03    3.7888494000e-03
2.4371724000e+03    6.9197376000e-03
2.4376031000e+03    4.8471080000e-04
2.4382320000e+03    4.3284155000e-03
2.4386112000e+03    3.4568815000e-03
2.4388899000e+03    7.7514220000e-04
2.4391108000e+03    6.5804100000e-04
