# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4193393000e+03    3.9092007800e-02
2.4203811000e+03    1.6212653100e-02
2.4205926000e+03    2.1851460000e-04
2.4207509000e+03    5.7935200000e-04
2.4213971000e+03    5.6341547000e-03
2.4226733000e+03    2.2433593000e-03
2.4228454000e+03    4.3363060000e-04
2.4229959000e+03    8.3139850000e-04
2.4233480000e+03    5.7960670000e-04
2.4234965000e+03    8.0447200000e-04
2.4237556000e+03    3.1935510000e-04
2.4242779000e+03    1.2654182000e-03
2.4247704000e+03    4.6469820000e-04
2.4250504000e+03    2.3229590000e-03
2.4254374000e+03    6.6613290000e-04
2.4255183000e+03    3.7228920000e-04
2.4260532000e+03    9.5609623000e-03
2.4265714000e+03    7.5760711000e-03
2.4268244000e+03    1.6651680700e-02
2.4269312000e+03    6.5022822000e-03
2.4273992000e+03    4.0879028100e-02
2.4276206000e+03    1.9391300800e-02
2.4282912000e+03    3.1331606000e-03
2.4287004000e+03    3.5843674000e-03
2.4287633000e+03    1.0219087000e-03
2.4290653000e+03    2.1351516000e-03
2.4299743000e+03    1.3108119000e-03
2.4304272000e+03    2.5703236000e-03
2.4309706000e+03    9.6718401000e-03
2.4312279000e+03    9.2331690000e-04
2.4319353000e+03    3.6443757000e-03
2.4321018000e+03    1.5488246000e-03
2.4323304000e+03    3.1588720000e-04
2.4327849000e+03    1.5327974000e-03
2.4330385000e+03    7.4552080000e-04
2.4333870000e+03    1.0877400000e-03
2.4334832000e+03    4.6985200000e-04
2.4338550000e+03    6.2846230000e-04
2.4341293000e+03    7.0820000000e-06
2.4341686000e+03    1.9316110000e-04
2.4347523000e+03    1.1142263000e-03
2.4348993000e+03    1.2515687000e-03
2.4351042000e+03    1.9142200000e-04
2.4358378000e+03    2.3065161000e-03
2.4360329000e+03    2.9078390000e-04
2.4364253000e+03    6.8471220000e-04
2.4371960000e+03    4.4701308000e-03
2.4374795000e+03    1.2256331000e-03
2.4375773000e+03    3.4131050000e-04
2.4379187000e+03    1.4550271000e-03
