# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 31 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4877862000e+03    2.8082811900e-02
2.4871083000e+03    8.6044880000e-04
2.4855275000e+03    2.4210066300e-02
2.4854577000e+03    3.1713895000e-03
2.4850154000e+03    7.0378370000e-04
2.4844298000e+03    1.5162911000e-02
2.4842200000e+03    1.9373816000e-03
2.4833386000e+03    9.3225920000e-03
2.4829223000e+03    2.6307522000e-03
2.4823828000e+03    1.2675886000e-03
2.4820905000e+03    1.1050034200e-02
2.4814500000e+03    5.2383338000e-03
2.4805745000e+03    4.8900296000e-03
2.4797888000e+03    4.7913049000e-03
2.4774755000e+03    2.3961037000e-03
2.4769578000e+03    9.8497500000e-05
2.4741178000e+03    5.8208840000e-04
2.4733769000e+03    8.5197300000e-05
2.4717865000e+03    9.5073440000e-04
2.4708001000e+03    6.1016300000e-05
2.4691409000e+03    2.2667220000e-04
2.3168803000e+03    6.7361414670e-01
2.3167867000e+03    3.8011432920e-01
2.3167401000e+03    6.6756565010e-01
2.2666772000e+03    4.6105000000e-06
2.2157333000e+03    0.0000000000e+00
2.2156009000e+03    0.0000000000e+00
2.2155464000e+03    0.0000000000e+00
2.2155156000e+03    0.0000000000e+00
2.2141696000e+03    4.0000000000e-10
2.2137419000e+03    0.0000000000e+00
