# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4199054000e+03    3.9216474000e-03
2.4204970000e+03    7.0833690000e-04
2.4208132000e+03    6.0216230000e-04
2.4214283000e+03    1.7198374000e-03
2.4227406000e+03    3.3771530000e-04
2.4232632000e+03    1.4347100000e-05
2.4236937000e+03    1.3761210000e-04
2.4239295000e+03    6.1528200000e-05
2.4245965000e+03    1.6444030000e-04
2.4246152000e+03    1.0570610000e-04
2.4249956000e+03    6.1996900000e-05
2.4255437000e+03    1.4246230000e-04
2.4257864000e+03    1.1719050000e-03
2.4261505000e+03    2.4699950000e-04
2.4262285000e+03    5.4145050000e-04
2.4266883000e+03    1.5698002000e-03
2.4270620000e+03    1.6509106000e-03
2.4275741000e+03    1.6466618000e-03
2.4278340000e+03    1.9820890000e-03
2.4289631000e+03    3.6372540000e-04
2.4290950000e+03    1.3394548000e-03
2.4292693000e+03    3.0911200000e-05
2.4294608000e+03    3.8115310000e-04
2.4299478000e+03    1.3766910000e-04
2.4305120000e+03    2.6242180000e-04
2.4312230000e+03    5.8186620000e-04
2.4319373000e+03    1.1612409000e-03
2.4320971000e+03    5.3536770000e-04
2.4324619000e+03    1.3729000000e-05
2.4327226000e+03    2.0830900000e-05
2.4329975000e+03    4.7442600000e-05
2.4332085000e+03    2.1281920000e-04
2.4333205000e+03    3.4240600000e-05
2.4336768000e+03    1.0578040000e-04
2.4339594000e+03    7.6269700000e-05
2.4346035000e+03    8.3918600000e-05
2.4347146000e+03    1.3442800000e-05
2.4349510000e+03    5.4948930000e-04
2.4352938000e+03    8.3619900000e-05
2.4361198000e+03    2.1417230000e-04
2.4362769000e+03    5.0858400000e-05
2.4365776000e+03    3.3597810000e-04
2.4367554000e+03    1.4741170000e-04
2.4373853000e+03    3.3787400000e-05
2.4378029000e+03    3.5852970000e-04
2.4379810000e+03    1.4887900000e-05
2.4382890000e+03    3.2578160000e-04
2.4386642000e+03    5.6490000000e-07
2.4390564000e+03    1.4297580000e-04
2.4395392000e+03    1.7382200000e-04
