# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197222000e+03    3.8883733000e-03
2.4206637000e+03    8.4664760000e-04
2.4211712000e+03    1.4397291000e-03
2.4223458000e+03    1.1906170000e-04
2.4225833000e+03    1.6908180000e-04
2.4232285000e+03    9.9670200000e-05
2.4235890000e+03    1.5302690000e-04
2.4236958000e+03    1.8630460000e-04
2.4246316000e+03    2.2324960000e-04
2.4247869000e+03    1.9326470000e-04
2.4251207000e+03    2.2208730000e-04
2.4254464000e+03    3.7062010000e-04
2.4259383000e+03    1.8279181000e-03
2.4261783000e+03    4.4353960000e-04
2.4267087000e+03    2.6865360000e-04
2.4269715000e+03    2.6749957000e-03
2.4270948000e+03    2.0879834000e-03
2.4273514000e+03    2.9496120000e-04
2.4278016000e+03    2.0213050000e-03
2.4285934000e+03    1.1666320000e-04
2.4287579000e+03    1.1547545000e-03
2.4295026000e+03    6.2848050000e-04
2.4301907000e+03    9.5307650000e-04
2.4303758000e+03    7.5189970000e-04
2.4311010000e+03    1.8968100000e-05
2.4316709000e+03    6.4627270000e-04
2.4327714000e+03    2.4705950000e-04
2.4332347000e+03    1.1933740000e-04
2.4335431000e+03    1.3369360000e-04
2.4338801000e+03    1.0708740000e-04
2.4351671000e+03    1.3173660000e-04
2.4356071000e+03    3.2162000000e-06
2.4360158000e+03    3.2541900000e-05
2.4362237000e+03    1.0761370000e-04
2.4364305000e+03    8.8829500000e-05
2.4367234000e+03    6.0547400000e-05
2.4368508000e+03    9.0820000000e-07
2.4370196000e+03    1.7628710000e-04
2.4371067000e+03    2.1089350000e-04
2.4378191000e+03    4.5722170000e-04
2.4379965000e+03    1.0776720000e-04
2.4386516000e+03    3.4223200000e-05
2.4391041000e+03    7.5954500000e-05
2.4398954000e+03    6.0708900000e-05
2.4406613000e+03    1.9288950000e-04
2.4422061000e+03    1.7343570000e-04
2.4432658000e+03    1.0323310000e-04
2.4436911000e+03    2.6959410000e-04
2.4438557000e+03    1.2959140000e-04
2.4453022000e+03    4.1292000000e-05
