# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4194147000e+03    3.8247992000e-03
2.4203075000e+03    2.0139186000e-03
2.4211144000e+03    7.9341800000e-05
2.4215370000e+03    8.6543860000e-04
2.4226567000e+03    1.7436530000e-04
2.4232997000e+03    1.3009380000e-04
2.4236926000e+03    2.0379970000e-04
2.4243030000e+03    1.4945400000e-04
2.4244684000e+03    5.5879900000e-05
2.4246437000e+03    2.2293400000e-05
2.4252562000e+03    3.4252950000e-04
2.4256453000e+03    5.6803700000e-05
2.4258823000e+03    2.8268830000e-04
2.4259591000e+03    1.6304700000e-05
2.4266004000e+03    1.5952960000e-03
2.4267220000e+03    1.3858585000e-03
2.4270638000e+03    1.4915647000e-03
2.4273537000e+03    2.0080011000e-03
2.4274266000e+03    3.3084485000e-03
2.4281975000e+03    3.6710650000e-04
2.4291841000e+03    9.3181790000e-04
2.4295983000e+03    2.4245160000e-04
2.4306002000e+03    1.7864492000e-03
2.4307669000e+03    6.0246300000e-05
2.4309441000e+03    2.0482650000e-04
2.4312885000e+03    2.4280640000e-04
2.4317201000e+03    1.8889770000e-04
2.4321480000e+03    1.1634110000e-04
2.4324896000e+03    1.1131740000e-04
2.4327272000e+03    3.5430700000e-05
2.4330721000e+03    1.4012440000e-04
2.4331444000e+03    5.0704300000e-05
2.4338726000e+03    6.0716400000e-05
2.4339868000e+03    2.6050000000e-06
2.4342214000e+03    1.3457940000e-04
2.4348828000e+03    5.3145800000e-05
2.4352249000e+03    5.7542600000e-05
2.4356785000e+03    4.7435000000e-06
2.4361725000e+03    8.7824900000e-05
2.4365053000e+03    2.4415300000e-05
2.4370583000e+03    7.2723580000e-04
2.4371872000e+03    4.4429200000e-05
2.4374401000e+03    3.0132920000e-04
2.4378545000e+03    5.9482900000e-05
2.4382362000e+03    7.3861900000e-05
2.4383484000e+03    1.2883400000e-05
2.4388191000e+03    4.0152000000e-06
2.4390572000e+03    3.0936800000e-05
2.4394027000e+03    6.3826300000e-05
2.4398495000e+03    1.2900500000e-04
