# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197801000e+03    4.0738268000e-03
2.4207281000e+03    4.1380710000e-04
2.4213151000e+03    1.7444536000e-03
2.4213265000e+03    3.7662400000e-04
2.4232880000e+03    3.5070700000e-05
2.4235266000e+03    1.4188200000e-05
2.4240539000e+03    2.7697700000e-05
2.4241821000e+03    4.6248170000e-04
2.4245871000e+03    1.1490200000e-05
2.4246378000e+03    1.8709000000e-06
2.4250355000e+03    1.3321600000e-05
2.4253155000e+03    1.7232030000e-04
2.4253271000e+03    3.5957900000e-05
2.4256370000e+03    5.1779140000e-04
2.4259433000e+03    1.3648000000e-06
2.4260396000e+03    2.3991700000e-05
2.4261996000e+03    7.7062940000e-04
2.4267523000e+03    4.5998390000e-04
2.4271923000e+03    3.1691367000e-03
2.4273976000e+03    1.4694732000e-03
2.4274281000e+03    4.2788598000e-03
2.4278382000e+03    9.7544030000e-04
2.4279735000e+03    1.8252120000e-04
2.4288707000e+03    1.4191490000e-04
2.4290643000e+03    8.4617900000e-05
2.4292857000e+03    1.7121100000e-05
2.4300771000e+03    8.3700000000e-08
2.4304325000e+03    4.9157560000e-04
2.4308832000e+03    1.7280500000e-04
2.4312400000e+03    8.7783700000e-05
2.4317730000e+03    1.0391040000e-04
2.4318799000e+03    3.3499660000e-04
2.4320515000e+03    1.2697600000e-05
2.4323426000e+03    7.4576300000e-04
2.4326918000e+03    9.6770000000e-07
2.4330075000e+03    6.6580500000e-05
2.4331558000e+03    2.0004100000e-05
2.4335986000e+03    2.0812090000e-04
2.4341193000e+03    6.1632100000e-05
2.4342211000e+03    6.9636000000e-06
2.4347317000e+03    6.2804800000e-05
2.4353472000e+03    5.5628000000e-05
2.4356847000e+03    7.9992700000e-05
2.4357744000e+03    4.4115210000e-04
2.4360170000e+03    2.8851480000e-04
2.4366335000e+03    6.9225000000e-06
2.4366709000e+03    3.5084160000e-04
2.4369570000e+03    8.5852000000e-06
2.4371164000e+03    2.7303800000e-05
2.4375478000e+03    2.0774000000e-05
