# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197820000e+03    4.0736185000e-03
2.4207211000e+03    4.1583660000e-04
2.4213004000e+03    9.6797000000e-04
2.4213325000e+03    1.1568270000e-03
2.4232802000e+03    3.8935200000e-05
2.4236800000e+03    9.9720000000e-06
2.4242116000e+03    4.6051020000e-04
2.4242600000e+03    5.9237800000e-05
2.4248137000e+03    2.0656000000e-06
2.4250620000e+03    2.2949500000e-05
2.4251441000e+03    2.6120600000e-05
2.4253264000e+03    1.4479640000e-04
2.4256115000e+03    4.3962000000e-04
2.4256678000e+03    1.0967390000e-04
2.4261863000e+03    6.8235390000e-04
2.4267517000e+03    4.6075470000e-04
2.4272077000e+03    3.7922159000e-03
2.4274295000e+03    4.2996536000e-03
2.4276332000e+03    1.9471737000e-03
2.4280591000e+03    9.5594300000e-05
2.4288503000e+03    1.7160300000e-04
2.4289857000e+03    9.7339000000e-06
2.4290649000e+03    8.5737700000e-05
2.4304582000e+03    2.8700000000e-08
2.4305449000e+03    6.0773820000e-04
2.4310122000e+03    1.3879430000e-04
2.4314952000e+03    5.3080000000e-07
2.4318162000e+03    3.3269300000e-04
2.4321651000e+03    6.3696040000e-04
2.4325896000e+03    1.3985330000e-04
2.4326947000e+03    7.0823500000e-05
2.4330555000e+03    1.2452400000e-04
2.4334605000e+03    2.0077190000e-04
2.4339039000e+03    2.5712900000e-05
2.4341533000e+03    1.4658000000e-06
2.4346403000e+03    7.7940000000e-05
2.4351575000e+03    7.2801700000e-05
2.4354074000e+03    2.7362000000e-06
2.4357525000e+03    4.2180190000e-04
2.4359843000e+03    3.8988180000e-04
2.4363681000e+03    3.2384000000e-06
2.4366466000e+03    3.6555560000e-04
2.4369878000e+03    6.4228000000e-06
2.4374109000e+03    2.1375300000e-05
2.4375305000e+03    6.0406500000e-05
2.4380153000e+03    2.0746490000e-04
2.4386627000e+03    3.9068370000e-04
2.4389037000e+03    4.4626600000e-05
2.4389286000e+03    5.5151300000e-05
2.4390569000e+03    7.7826400000e-05
