# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 36 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4881706000e+03    6.5437590000e-04
2.4877756000e+03    2.4304915000e-03
2.4860559000e+03    1.8036540000e-03
2.4854760000e+03    2.7949860000e-04
2.4851411000e+03    1.2694326000e-03
2.4846784000e+03    2.8508724000e-03
2.4838829000e+03    1.1306460000e-04
2.4835646000e+03    5.0604730000e-04
2.4835110000e+03    1.6029486000e-03
2.4830250000e+03    4.0623890000e-04
2.4822365000e+03    3.3597630000e-04
2.4818859000e+03    2.2861491000e-03
2.4818103000e+03    7.0588000000e-06
2.4807900000e+03    3.3759900000e-05
2.4806676000e+03    3.8515020000e-04
2.4796001000e+03    3.5226900000e-04
2.4779731000e+03    4.0625740000e-04
2.4772454000e+03    2.0300800000e-05
2.4752436000e+03    2.5462800000e-05
2.4742549000e+03    1.0070530000e-04
2.4731132000e+03    7.2291000000e-06
2.4720358000e+03    1.6364900000e-04
2.4700036000e+03    5.8472400000e-05
2.4648825000e+03    1.3100000000e-08
2.3168845000e+03    8.8988631500e-02
2.3167938000e+03    8.9522265300e-02
2.3167408000e+03    8.9252420200e-02
2.2666809000e+03    1.0429000000e-06
2.2160032000e+03    0.0000000000e+00
2.2159748000e+03    0.0000000000e+00
2.2158853000e+03    0.0000000000e+00
2.2158023000e+03    0.0000000000e+00
2.2156934000e+03    0.0000000000e+00
2.2144783000e+03    2.0000000000e-10
2.2142810000e+03    0.0000000000e+00
1.9713587000e+03    0.0000000000e+00
