# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 35 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4877394000e+03    3.6781654000e-03
2.4870726000e+03    1.3327179600e-02
2.4868500000e+03    2.9941810000e-04
2.4865797000e+03    1.4199599200e-01
2.4860097000e+03    4.9866376000e-03
2.4847527000e+03    9.1555410000e-04
2.4842374000e+03    6.0634008000e-03
2.4840771000e+03    8.1765922400e-02
2.4834814000e+03    2.8808116300e-02
2.4828663000e+03    1.5743310000e-04
2.4823852000e+03    9.4908785000e-03
2.4821467000e+03    5.9722085000e-03
2.4817812000e+03    1.5179622700e-02
2.4808670000e+03    3.1671657600e-02
2.4804914000e+03    2.5649713000e-03
2.4798405000e+03    9.9763270000e-04
2.4778375000e+03    9.5895920000e-04
2.4771896000e+03    1.5883300000e-04
2.4752022000e+03    2.6575783000e-03
2.4739147000e+03    2.9442690000e-04
2.4731372000e+03    2.0154761000e-03
2.4721243000e+03    8.5221960000e-04
2.4710912000e+03    2.8742130000e-03
2.4696622000e+03    3.6122520000e-04
2.3168692000e+03    1.8162244921e+00
2.3167818000e+03    2.0387597565e+00
2.3167296000e+03    1.2671648274e+00
2.2666582000e+03    4.2428600000e-05
2.2158393000e+03    0.0000000000e+00
2.2158225000e+03    0.0000000000e+00
2.2157054000e+03    0.0000000000e+00
2.2156527000e+03    0.0000000000e+00
2.2154108000e+03    0.0000000000e+00
2.2145075000e+03    0.0000000000e+00
2.2136843000e+03    3.0000000000e-10
