# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 43 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4885258000e+03    1.6096554000e-03
2.4877351000e+03    2.9953300000e-05
2.4870073000e+03    1.4977700000e-05
2.4866884000e+03    2.9179146000e-03
2.4854451000e+03    1.2027026000e-03
2.4845968000e+03    2.5291350000e-03
2.4844182000e+03    5.9080440000e-04
2.4843836000e+03    9.6565970000e-04
2.4841581000e+03    4.4045370000e-04
2.4835898000e+03    2.5534640000e-04
2.4833679000e+03    2.5934150000e-04
2.4829506000e+03    1.9873134000e-03
2.4824495000e+03    2.8453990000e-04
2.4822816000e+03    7.0431000000e-06
2.4820570000e+03    1.6411380000e-04
2.4817851000e+03    1.5465540000e-04
2.4812467000e+03    1.6911250000e-04
2.4805873000e+03    1.8854473000e-03
2.4793594000e+03    1.7106400000e-05
2.4785133000e+03    1.4694700000e-05
2.4772431000e+03    2.3348070000e-04
2.4766840000e+03    2.0653300000e-05
2.4749852000e+03    5.7158700000e-05
2.4738500000e+03    6.9461200000e-05
2.4731274000e+03    3.8815000000e-06
2.4720627000e+03    1.5502600000e-04
2.4700755000e+03    5.9157600000e-05
2.4682796000e+03    5.7040000000e-07
2.4658617000e+03    1.7000000000e-09
2.3168870000e+03    8.8991809900e-02
2.3167957000e+03    8.9567847900e-02
2.3167425000e+03    8.9232746800e-02
2.2666841000e+03    1.0571000000e-06
2.2171411000e+03    0.0000000000e+00
2.2160449000e+03    0.0000000000e+00
2.2157993000e+03    0.0000000000e+00
2.2157004000e+03    0.0000000000e+00
2.2156308000e+03    0.0000000000e+00
2.2146851000e+03    2.0000000000e-10
2.2144948000e+03    0.0000000000e+00
2.2139045000e+03    0.0000000000e+00
2.1022481000e+03    0.0000000000e+00
1.9733596000e+03    0.0000000000e+00
