# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197352000e+03    4.0260401000e-03
2.4208859000e+03    1.9379500000e-05
2.4210570000e+03    3.5426040000e-04
2.4212533000e+03    2.0412026000e-03
2.4229817000e+03    1.2405000000e-06
2.4234032000e+03    1.5478980000e-04
2.4235105000e+03    3.3187200000e-05
2.4242588000e+03    1.3107150000e-04
2.4247692000e+03    2.9768190000e-04
2.4252360000e+03    1.3641290000e-04
2.4253498000e+03    2.1711820000e-04
2.4254846000e+03    3.9131890000e-04
2.4260122000e+03    1.0097344000e-03
2.4267032000e+03    4.5999320000e-04
2.4270778000e+03    3.6937235000e-03
2.4273225000e+03    4.3422631000e-03
2.4276841000e+03    5.6558910000e-04
2.4279330000e+03    1.1783802000e-03
2.4288666000e+03    4.0336400000e-05
2.4290656000e+03    7.7841700000e-05
2.4295241000e+03    2.1965190000e-04
2.4300680000e+03    1.0405860000e-04
2.4302002000e+03    1.8517860000e-04
2.4311341000e+03    8.7534440000e-04
2.4319735000e+03    1.2311350000e-04
2.4323005000e+03    2.0951100000e-05
2.4325339000e+03    8.0372800000e-05
2.4326820000e+03    9.2406010000e-04
2.4328976000e+03    1.4417000000e-06
2.4330752000e+03    4.4762500000e-05
2.4338148000e+03    2.0487000000e-06
2.4338547000e+03    6.4393300000e-05
2.4348122000e+03    4.2611200000e-05
2.4351520000e+03    8.3241200000e-05
2.4353020000e+03    9.5885200000e-05
2.4355145000e+03    4.6977000000e-05
2.4358194000e+03    2.9043350000e-04
2.4365486000e+03    3.8045080000e-04
2.4368645000e+03    4.5331000000e-06
2.4370229000e+03    2.5176000000e-05
2.4372727000e+03    6.6992720000e-04
2.4382481000e+03    1.8527090000e-04
2.4384789000e+03    1.2590100000e-05
2.4386363000e+03    6.1238400000e-05
2.4392465000e+03    4.4115390000e-04
2.4395591000e+03    1.0420180000e-04
2.4399046000e+03    1.9476200000e-05
2.4403287000e+03    3.6778700000e-05
2.4408132000e+03    6.0004400000e-05
2.4417988000e+03    7.1579000000e-05
