# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 32 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4886928000e+03    1.4644110000e-03
2.4869820000e+03    1.3366200000e-05
2.4866026000e+03    3.5824924000e-03
2.4848039000e+03    1.6499400000e-03
2.4845665000e+03    1.6916031000e-03
2.4844036000e+03    1.9422047000e-03
2.4833081000e+03    7.6185190000e-04
2.4830281000e+03    1.4281111000e-03
2.4823442000e+03    1.5448490000e-04
2.4820882000e+03    2.8805170000e-04
2.4818106000e+03    5.1047390000e-04
2.4809521000e+03    1.5375035000e-03
2.4799500000e+03    2.0397290000e-04
2.4795726000e+03    2.5746210000e-04
2.4776185000e+03    2.0066250000e-04
2.4768107000e+03    5.9636500000e-05
2.4745673000e+03    1.0855430000e-04
2.4731338000e+03    4.8498000000e-06
2.4723214000e+03    1.6392170000e-04
2.4702520000e+03    6.7928300000e-05
2.4685835000e+03    1.4506000000e-06
2.3168896000e+03    8.9000322900e-02
2.3167981000e+03    8.9567445000e-02
2.3167445000e+03    8.9226797400e-02
2.2666866000e+03    1.0636000000e-06
2.2159551000e+03    0.0000000000e+00
2.2158947000e+03    0.0000000000e+00
2.2157273000e+03    0.0000000000e+00
2.2155623000e+03    0.0000000000e+00
2.2147615000e+03    2.0000000000e-10
2.2146278000e+03    0.0000000000e+00
2.1029486000e+03    0.0000000000e+00
