# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 35 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4874895000e+03    1.9088488500e-02
2.4867820000e+03    2.4505197300e-02
2.4864738000e+03    1.3684790060e-01
2.4859810000e+03    1.5577800000e-05
2.4854130000e+03    2.1584866700e-02
2.4843405000e+03    2.9291731100e-02
2.4841268000e+03    6.7432921000e-03
2.4837028000e+03    3.8419127600e-02
2.4832644000e+03    2.0099183100e-02
2.4822954000e+03    9.5705928000e-03
2.4821081000e+03    3.3120699000e-03
2.4820838000e+03    5.7839676000e-02
2.4816273000e+03    4.1224174000e-02
2.4812315000e+03    4.3828656000e-03
2.4802607000e+03    1.0798884400e-02
2.4797448000e+03    9.2593604000e-03
2.4776609000e+03    2.9568067000e-03
2.4766913000e+03    3.1461390000e-04
2.4753815000e+03    6.9807385000e-03
2.4734916000e+03    1.9658019000e-03
2.4728852000e+03    2.2262000000e-06
2.4716677000e+03    2.5397534000e-03
2.4705918000e+03    1.4525330000e-03
2.4693519000e+03    1.7935130000e-04
2.3168589000e+03    2.0835010868e+00
2.3167757000e+03    1.8940545280e+00
2.3167240000e+03    2.6461139385e+00
2.2666553000e+03    3.4806800000e-05
2.2156240000e+03    0.0000000000e+00
2.2156075000e+03    0.0000000000e+00
2.2155850000e+03    0.0000000000e+00
2.2154488000e+03    0.0000000000e+00
2.2153250000e+03    0.0000000000e+00
2.2139596000e+03    0.0000000000e+00
2.2136839000e+03    5.0000000000e-10
