# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4189763000e+03    3.0340170500e-02
2.4196757000e+03    4.9825454000e-02
2.4205766000e+03    2.0283644000e-03
2.4206915000e+03    4.0068432500e-02
2.4220010000e+03    1.8768704500e-02
2.4226385000e+03    1.2621522000e-03
2.4232613000e+03    3.2209088000e-03
2.4234864000e+03    2.8913350000e-04
2.4241828000e+03    1.1142960000e-04
2.4247663000e+03    1.0644593000e-03
2.4249975000e+03    3.0675253000e-03
2.4252721000e+03    2.6891245000e-03
2.4253133000e+03    8.1852877000e-03
2.4260996000e+03    3.9000329000e-03
2.4262549000e+03    2.1912424000e-03
2.4267720000e+03    5.0916904300e-02
2.4268885000e+03    8.6450594000e-02
2.4269221000e+03    3.4327072000e-03
2.4271374000e+03    2.4868377400e-02
2.4277365000e+03    1.1022346000e-01
2.4280793000e+03    3.5560523000e-03
2.4285674000e+03    2.3216100000e-04
2.4287720000e+03    2.0016600000e-05
2.4291492000e+03    2.9442270000e-04
2.4293752000e+03    2.0408992700e-02
2.4296170000e+03    4.7198220000e-04
2.4304297000e+03    5.8926304000e-03
2.4309928000e+03    2.7933450000e-04
2.4317516000e+03    3.3740094000e-03
2.4319405000e+03    1.6658490000e-04
2.4320727000e+03    1.2093697000e-03
2.4322572000e+03    1.0848685000e-03
2.4328550000e+03    2.2823810200e-02
2.4331074000e+03    3.3856390000e-04
2.4331382000e+03    1.0356084000e-03
2.4336820000e+03    4.0829700000e-05
2.4338032000e+03    2.3693119000e-03
2.4339027000e+03    1.8507755000e-03
2.4347611000e+03    2.0806950000e-04
2.4352900000e+03    8.2905353000e-03
2.4354979000e+03    4.5191400000e-05
2.4360196000e+03    3.8589364000e-03
2.4362413000e+03    2.6489723000e-03
2.4368145000e+03    4.8798643000e-03
2.4369742000e+03    3.9440940000e-04
2.4372285000e+03    2.2294471000e-03
2.4373455000e+03    2.5551428000e-03
2.4379564000e+03    5.2156600000e-05
2.4382441000e+03    5.0056000000e-06
2.4383290000e+03    1.5833625000e-03
