# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4195555000e+03    3.9999540000e-03
2.4207476000e+03    2.1585109000e-03
2.4219880000e+03    2.9996890000e-04
2.4226552000e+03    2.2135240000e-04
2.4227792000e+03    2.3191520000e-04
2.4231968000e+03    6.8543800000e-05
2.4233966000e+03    1.0050950000e-04
2.4236361000e+03    1.2627550000e-04
2.4238680000e+03    2.3768390000e-04
2.4240661000e+03    4.8869000000e-06
2.4242106000e+03    1.7957080000e-04
2.4244231000e+03    1.5316230000e-04
2.4247672000e+03    3.6279800000e-05
2.4248199000e+03    1.3697300000e-05
2.4250856000e+03    2.8812300000e-05
2.4255536000e+03    3.2514250000e-04
2.4256423000e+03    8.3995400000e-05
2.4258926000e+03    2.5083420000e-04
2.4260689000e+03    1.1602836000e-03
2.4264271000e+03    7.3820310000e-04
2.4266707000e+03    5.9960400000e-04
2.4269358000e+03    1.1380047000e-03
2.4272654000e+03    1.4613439000e-03
2.4276289000e+03    2.5049500000e-03
2.4279123000e+03    1.3427490000e-04
2.4280664000e+03    1.7081685000e-03
2.4282785000e+03    9.6115700000e-05
2.4285565000e+03    4.2999140000e-04
2.4296130000e+03    6.1128070000e-04
2.4299258000e+03    3.8256380000e-04
2.4304807000e+03    4.0568300000e-04
2.4307924000e+03    3.5363370000e-04
2.4310114000e+03    7.1135130000e-04
2.4315315000e+03    3.7795460000e-04
2.4318501000e+03    2.8962200000e-05
2.4323141000e+03    2.9820650000e-04
2.4329443000e+03    1.6257000000e-04
2.4333352000e+03    2.2646980000e-04
2.4338481000e+03    3.9934810000e-04
2.4341871000e+03    1.0181020000e-04
2.4344808000e+03    4.4955300000e-05
2.4348510000e+03    1.2130710000e-04
2.4355888000e+03    5.5733400000e-05
2.4358383000e+03    4.7278800000e-05
2.4364962000e+03    1.0999000000e-05
2.4365512000e+03    3.6754420000e-04
2.4367157000e+03    3.7536000000e-05
2.4368057000e+03    2.0072190000e-04
2.4369668000e+03    2.1302560000e-04
2.4371665000e+03    2.9309100000e-05
