# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 48 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4871308000e+03    1.9047308000e-03
2.4868274000e+03    1.7165890000e-04
2.4864436000e+03    5.0355966000e-03
2.4845975000e+03    7.6781000000e-04
2.4844024000e+03    5.2301600000e-05
2.4841718000e+03    1.6460317000e-03
2.4838854000e+03    7.9380000000e-07
2.4836888000e+03    1.1415154000e-03
2.4834048000e+03    1.0330900000e-05
2.4831720000e+03    5.0907000000e-05
2.4828559000e+03    6.6113800000e-04
2.4823094000e+03    1.5509510000e-04
2.4822457000e+03    1.4648300000e-04
2.4822326000e+03    1.2762170000e-04
2.4821378000e+03    1.4076623000e-03
2.4817869000e+03    1.4677019000e-03
2.4815664000e+03    6.2902000000e-06
2.4804742000e+03    1.1698660000e-04
2.4803010000e+03    6.9247370000e-04
2.4788405000e+03    6.8000000000e-08
2.4788235000e+03    6.7940000000e-06
2.4786981000e+03    4.0344000000e-06
2.4774492000e+03    9.4119800000e-05
2.4767674000e+03    9.9017000000e-06
2.4758580000e+03    1.2917910000e-04
2.4745921000e+03    1.0598950000e-04
2.4730064000e+03    5.7890000000e-07
2.4726821000e+03    7.9008900000e-05
2.4710594000e+03    1.1838820000e-04
2.4696181000e+03    1.5828400000e-05
2.4613124000e+03    0.0000000000e+00
2.4611652000e+03    0.0000000000e+00
2.4587863000e+03    0.0000000000e+00
2.3168619000e+03    8.9080716600e-02
2.3167777000e+03    8.9590715400e-02
2.3167265000e+03    8.9065642400e-02
2.2666580000e+03    7.9460000000e-07
2.2157243000e+03    0.0000000000e+00
2.2156896000e+03    0.0000000000e+00
2.2156328000e+03    0.0000000000e+00
2.2155709000e+03    0.0000000000e+00
2.2153061000e+03    0.0000000000e+00
2.2152437000e+03    0.0000000000e+00
2.2136929000e+03    1.0000000000e-10
2.2101731000e+03    0.0000000000e+00
1.8207675000e+03    0.0000000000e+00
1.8207672000e+03    0.0000000000e+00
1.8206105000e+03    0.0000000000e+00
