# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 47 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4884286000e+03    1.1336000000e-06
2.4873023000e+03    1.6000000000e-09
2.4867713000e+03    5.2087275000e-03
2.4865814000e+03    1.5644000000e-06
2.4862088000e+03    5.5922630000e-04
2.4861894000e+03    7.7934260000e-04
2.4859442000e+03    1.1938600000e-05
2.4853629000e+03    3.9039000000e-06
2.4851823000e+03    2.9397000000e-06
2.4850254000e+03    7.3389280000e-04
2.4844877000e+03    1.3236087000e-03
2.4843926000e+03    9.7723210000e-04
2.4841742000e+03    3.4105810000e-04
2.4836104000e+03    3.6642350000e-04
2.4832454000e+03    1.2490017000e-03
2.4828336000e+03    5.7145400000e-05
2.4826364000e+03    3.0341760000e-04
2.4825279000e+03    2.1131130000e-04
2.4821483000e+03    5.1958530000e-04
2.4820842000e+03    6.8934130000e-04
2.4816452000e+03    1.5589835000e-03
2.4803391000e+03    5.8234770000e-04
2.4799782000e+03    3.2078000000e-06
2.4790047000e+03    2.2857300000e-05
2.4780814000e+03    1.0199200000e-05
2.4770358000e+03    1.6972980000e-04
2.4757822000e+03    1.4377710000e-04
2.4744596000e+03    5.6178500000e-05
2.4733921000e+03    3.5107500000e-05
2.4724919000e+03    5.7851000000e-05
2.4709606000e+03    1.3594810000e-04
2.4679960000e+03    0.0000000000e+00
2.4655161000e+03    0.0000000000e+00
2.3168713000e+03    8.9056443000e-02
2.3167863000e+03    8.9545549400e-02
2.3167359000e+03    8.9123033900e-02
2.2666704000e+03    9.5330000000e-07
2.2177626000e+03    0.0000000000e+00
2.2175708000e+03    0.0000000000e+00
2.2174601000e+03    0.0000000000e+00
2.2170742000e+03    0.0000000000e+00
2.2164244000e+03    0.0000000000e+00
2.2158474000e+03    0.0000000000e+00
2.2146186000e+03    0.0000000000e+00
2.2139658000e+03    1.0000000000e-10
1.9742406000e+03    0.0000000000e+00
1.9727547000e+03    0.0000000000e+00
