# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 32 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4872512000e+03    1.5675718000e-03
2.4869688000e+03    1.6612320000e-04
2.4864451000e+03    5.3672895000e-03
2.4846206000e+03    5.6084320000e-04
2.4844201000e+03    9.9084900000e-04
2.4840872000e+03    8.0092940000e-04
2.4834571000e+03    1.7961359000e-03
2.4824453000e+03    9.2978400000e-05
2.4822842000e+03    4.5772250000e-04
2.4821508000e+03    1.1190742000e-03
2.4818671000e+03    1.6817012000e-03
2.4811338000e+03    2.5173290000e-04
2.4804936000e+03    5.6767980000e-04
2.4796290000e+03    1.5286750000e-04
2.4776155000e+03    1.2341530000e-04
2.4770653000e+03    1.0837300000e-05
2.4752313000e+03    2.0152040000e-04
2.4732321000e+03    5.1413800000e-05
2.4731670000e+03    2.1948700000e-05
2.4712922000e+03    1.3285990000e-04
2.4698395000e+03    2.4189000000e-05
2.3168578000e+03    8.9072609600e-02
2.3167748000e+03    8.9603233600e-02
2.3167229000e+03    8.9060545000e-02
2.2666546000e+03    7.6570000000e-07
2.2158833000e+03    0.0000000000e+00
2.2158453000e+03    0.0000000000e+00
2.2158254000e+03    0.0000000000e+00
2.2157308000e+03    0.0000000000e+00
2.2156688000e+03    0.0000000000e+00
2.2154254000e+03    0.0000000000e+00
2.2137080000e+03    1.0000000000e-10
