# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4195304000e+03    3.9538065000e-03
2.4208114000e+03    2.1714906000e-03
2.4221464000e+03    3.7423670000e-04
2.4226740000e+03    2.3386490000e-04
2.4232315000e+03    1.2032420000e-04
2.4235474000e+03    3.3311650000e-04
2.4237741000e+03    3.7466900000e-05
2.4241199000e+03    1.0507420000e-04
2.4243177000e+03    6.9103700000e-05
2.4245316000e+03    2.6088340000e-04
2.4247748000e+03    4.9477600000e-05
2.4250657000e+03    9.3960500000e-05
2.4257558000e+03    8.9856370000e-04
2.4258538000e+03    1.7058150000e-04
2.4264083000e+03    6.0534960000e-04
2.4267266000e+03    2.0345470000e-04
2.4269561000e+03    2.4625454000e-03
2.4271365000e+03    1.3302468000e-03
2.4275267000e+03    2.2518747000e-03
2.4278390000e+03    2.6130102000e-03
2.4281416000e+03    2.5827500000e-04
2.4285477000e+03    3.9804830000e-04
2.4294630000e+03    2.7114600000e-05
2.4297553000e+03    2.1710890000e-04
2.4306390000e+03    1.2354773000e-03
2.4311076000e+03    2.4824100000e-04
2.4318333000e+03    9.6978800000e-05
2.4320529000e+03    3.9501640000e-04
2.4327958000e+03    4.4758360000e-04
2.4333754000e+03    2.4774250000e-04
2.4334734000e+03    4.7373960000e-04
2.4338922000e+03    3.9752360000e-04
2.4346592000e+03    2.5764500000e-05
2.4356246000e+03    8.7820200000e-05
2.4358376000e+03    1.3818760000e-04
2.4362016000e+03    1.0278530000e-04
2.4363659000e+03    1.6618420000e-04
2.4364500000e+03    8.7512000000e-05
2.4366482000e+03    1.2413300000e-05
2.4370361000e+03    3.6950270000e-04
2.4372780000e+03    6.0825300000e-05
2.4376936000e+03    9.2101000000e-06
2.4378892000e+03    3.7872300000e-05
2.4380029000e+03    1.1492500000e-05
2.4381968000e+03    3.3100300000e-05
2.4383859000e+03    7.0803200000e-05
2.4392373000e+03    1.0563760000e-04
2.4400387000e+03    3.0143500000e-05
2.4402251000e+03    3.4897810000e-04
2.4413252000e+03    1.6850280000e-04
