# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4196127000e+03    3.9188657000e-03
2.4208276000e+03    2.3312643000e-03
2.4211608000e+03    2.7671100000e-04
2.4212527000e+03    4.5211000000e-06
2.4216667000e+03    7.2832000000e-06
2.4219042000e+03    1.6786490000e-04
2.4220993000e+03    1.1372100000e-05
2.4227409000e+03    4.4928800000e-05
2.4228378000e+03    5.7859400000e-05
2.4232834000e+03    1.6716170000e-04
2.4233790000e+03    1.5295500000e-05
2.4234835000e+03    5.4987000000e-06
2.4237593000e+03    1.0602150000e-04
2.4238252000e+03    5.5548400000e-05
2.4240745000e+03    6.3937300000e-05
2.4242843000e+03    8.2870900000e-05
2.4245143000e+03    1.3190050000e-04
2.4247960000e+03    2.1016700000e-05
2.4250252000e+03    1.1817700000e-05
2.4251397000e+03    6.2766700000e-05
2.4253582000e+03    1.3614060000e-04
2.4256028000e+03    2.1758950000e-04
2.4257922000e+03    1.6580490000e-04
2.4259478000e+03    1.2496740000e-03
2.4260568000e+03    7.0544900000e-05
2.4262719000e+03    2.5099910000e-04
2.4265104000e+03    7.1601450000e-04
2.4266814000e+03    3.7978270000e-04
2.4267571000e+03    1.7120718000e-03
2.4269271000e+03    6.7042690000e-04
2.4272071000e+03    3.4008600000e-04
2.4273258000e+03    2.1072969000e-03
2.4274994000e+03    1.4207094000e-03
2.4278311000e+03    3.5474520000e-04
2.4279110000e+03    3.3784670000e-04
2.4280611000e+03    3.0338300000e-05
2.4282769000e+03    1.2690550000e-04
2.4284188000e+03    9.9030700000e-05
2.4289602000e+03    1.6763600000e-04
2.4293281000e+03    8.2104500000e-05
2.4294936000e+03    2.6400530000e-04
2.4297157000e+03    6.0290600000e-05
2.4299158000e+03    3.9182020000e-04
2.4301521000e+03    5.5830100000e-05
2.4303349000e+03    1.0200200000e-04
2.4305568000e+03    2.9909900000e-04
2.4308803000e+03    1.0833320000e-04
2.4311432000e+03    3.3733980000e-04
2.4311813000e+03    7.0063600000e-05
2.4313841000e+03    7.2221200000e-05
