# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 27 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4867982000e+03    5.9422201000e-03
2.4861622000e+03    3.7033980000e-04
2.4858845000e+03    1.0250730000e-04
2.4845853000e+03    2.1149300000e-04
2.4843596000e+03    3.1356232000e-03
2.4836055000e+03    9.4091140000e-04
2.4827487000e+03    1.1823715000e-03
2.4826599000e+03    1.9647787000e-03
2.4816822000e+03    6.1903940000e-04
2.4809490000e+03    3.8463870000e-04
2.4803647000e+03    2.6615500000e-04
2.4797118000e+03    3.5638920000e-04
2.4786744000e+03    1.8591150000e-04
2.4755137000e+03    1.5011570000e-04
2.4738300000e+03    7.5553000000e-05
2.4712072000e+03    1.9796920000e-04
2.4657827000e+03    7.5080000000e-07
2.4634094000e+03    5.6750000000e-07
2.3168829000e+03    8.9064993500e-02
2.3167900000e+03    8.9464301100e-02
2.3167466000e+03    8.9159006600e-02
2.2666789000e+03    9.6350000000e-07
2.2155984000e+03    0.0000000000e+00
2.2137104000e+03    1.0000000000e-10
2.2124247000e+03    0.0000000000e+00
1.9719738000e+03    0.0000000000e+00
1.9705381000e+03    0.0000000000e+00
