# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4193855000e+03    4.1378686000e-03
2.4204159000e+03    1.6255648000e-03
2.4212864000e+03    7.8142510000e-04
2.4216514000e+03    1.9386140000e-04
2.4222668000e+03    2.6632680000e-04
2.4224908000e+03    1.1351190000e-04
2.4228813000e+03    2.7778100000e-05
2.4234415000e+03    2.4926990000e-04
2.4237195000e+03    1.2588680000e-04
2.4238688000e+03    5.7475100000e-05
2.4240553000e+03    7.9783200000e-05
2.4243576000e+03    1.8002190000e-04
2.4244942000e+03    3.9567200000e-05
2.4246805000e+03    1.2402790000e-04
2.4247620000e+03    3.8125950000e-04
2.4250965000e+03    1.6049740000e-04
2.4252628000e+03    9.2420500000e-05
2.4253444000e+03    5.0916200000e-05
2.4255604000e+03    1.5811730000e-04
2.4258126000e+03    5.1577750000e-04
2.4264626000e+03    1.0082590000e-04
2.4267662000e+03    5.4762830000e-04
2.4269858000e+03    2.1368739000e-03
2.4272078000e+03    1.6271067000e-03
2.4272828000e+03    6.9207090000e-04
2.4278102000e+03    1.4197011000e-03
2.4279236000e+03    1.5158085000e-03
2.4283663000e+03    2.4234910000e-04
2.4286522000e+03    2.5086130000e-04
2.4287090000e+03    8.3977150000e-04
2.4291497000e+03    7.0691500000e-05
2.4298984000e+03    2.3304200000e-04
2.4299893000e+03    2.3301630000e-04
2.4304892000e+03    2.1513890000e-04
2.4307085000e+03    2.2301180000e-04
2.4310126000e+03    1.9868300000e-05
2.4312760000e+03    8.6736100000e-05
2.4313248000e+03    7.9908800000e-04
2.4314827000e+03    6.1449570000e-04
2.4319211000e+03    4.6594800000e-05
2.4321665000e+03    1.1366990000e-04
2.4329284000e+03    1.3538390000e-04
2.4329706000e+03    4.3824900000e-05
2.4333162000e+03    6.8439950000e-04
2.4339163000e+03    6.6445200000e-05
2.4346149000e+03    1.4915500000e-05
2.4348296000e+03    2.2003600000e-05
2.4352902000e+03    8.2789400000e-05
2.4355428000e+03    1.2034320000e-04
2.4358324000e+03    4.1589300000e-05
