# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4197782000e+03    4.0565953000e-03
2.4207127000e+03    4.4280220000e-04
2.4210233000e+03    9.9270000000e-07
2.4213293000e+03    2.0802928000e-03
2.4233172000e+03    8.2031900000e-05
2.4238247000e+03    8.5645700000e-05
2.4242943000e+03    9.3683800000e-05
2.4247058000e+03    2.6274100000e-04
2.4251082000e+03    1.0937280000e-04
2.4253318000e+03    4.3487500000e-04
2.4256286000e+03    3.7885490000e-04
2.4261101000e+03    7.5190930000e-04
2.4267428000e+03    4.3921380000e-04
2.4271687000e+03    3.7698193000e-03
2.4273922000e+03    4.3866140000e-03
2.4278965000e+03    1.6839283000e-03
2.4287242000e+03    5.6906000000e-05
2.4290760000e+03    8.4160700000e-05
2.4291946000e+03    1.1471840000e-04
2.4296362000e+03    8.7417700000e-05
2.4300868000e+03    1.5267520000e-04
2.4307236000e+03    6.4880500000e-04
2.4319902000e+03    8.1105980000e-04
2.4325886000e+03    4.5699570000e-04
2.4326251000e+03    7.5378100000e-05
2.4327815000e+03    1.5762630000e-04
2.4333564000e+03    9.6570000000e-07
2.4335242000e+03    6.3072500000e-05
2.4338447000e+03    1.7057700000e-04
2.4339495000e+03    4.2480000000e-07
2.4350638000e+03    8.8069600000e-05
2.4353635000e+03    5.7662100000e-05
2.4358764000e+03    3.7661540000e-04
2.4362039000e+03    3.6900000000e-07
2.4365751000e+03    5.2294290000e-04
2.4369005000e+03    1.9010000000e-07
2.4372997000e+03    2.4999750000e-04
2.4380710000e+03    2.1555970000e-04
2.4383264000e+03    5.6782600000e-05
2.4384399000e+03    1.8357910000e-04
2.4390847000e+03    1.7484420000e-04
2.4394796000e+03    4.1266940000e-04
2.4399944000e+03    1.4999570000e-04
2.4409881000e+03    3.6799300000e-05
2.4416996000e+03    1.2477000000e-04
2.4420601000e+03    7.2894100000e-05
2.4425929000e+03    2.7270920000e-04
2.4435325000e+03    2.2095000000e-04
2.4443797000e+03    2.1415800000e-05
2.4445771000e+03    3.7424900000e-05
