# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4892988000e+03    1.8932284000e-03
2.4886333000e+03    9.6976680000e-04
2.4878030000e+03    1.2161500000e-05
2.4867187000e+03    1.0652814000e-03
2.4856429000e+03    2.6680816000e-03
2.4848419000e+03    1.6140091000e-03
2.4840514000e+03    1.5919884000e-03
2.4840174000e+03    4.0141520000e-04
2.4837685000e+03    9.7157630000e-04
2.4834778000e+03    1.0270924000e-03
2.4825878000e+03    5.4782070000e-04
2.4816986000e+03    5.5479790000e-04
2.4811811000e+03    6.7696900000e-05
2.4789683000e+03    8.6991400000e-05
2.4781725000e+03    3.3121200000e-04
2.4755551000e+03    3.2881120000e-04
2.4735453000e+03    2.7806650000e-04
2.4689175000e+03    8.3962400000e-05
2.4677724000e+03    4.5852230000e-04
2.4657514000e+03    8.9418000000e-06
2.3171867000e+03    8.9421355000e-02
2.3171411000e+03    8.9324189400e-02
2.3171087000e+03    8.9595029900e-02
2.2670131000e+03    2.4838000000e-06
2.2160112000e+03    0.0000000000e+00
2.2159230000e+03    1.0000000000e-10
2.2137391000e+03    1.0000000000e-10
2.1027824000e+03    0.0000000000e+00
1.9735749000e+03    0.0000000000e+00
1.9727062000e+03    0.0000000000e+00
