# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4210903000e+03    5.7511505000e-03
2.4224617000e+03    1.8974400000e-02
2.4230255000e+03    3.9198797000e-03
2.4238260000e+03    1.6854324200e-02
2.4245642000e+03    1.8286432200e-02
2.4251482000e+03    4.7939991000e-03
2.4258409000e+03    6.0316409000e-03
2.4261240000e+03    1.1809130000e-03
2.4263190000e+03    1.8769672000e-03
2.4265308000e+03    2.2072200000e-05
2.4268058000e+03    9.4713040000e-04
2.4270436000e+03    4.1321230000e-04
2.4271844000e+03    1.4956933000e-03
2.4272832000e+03    8.0473240000e-04
2.4281343000e+03    2.6447197000e-03
2.4290562000e+03    2.3593514000e-03
2.4298904000e+03    1.2008389300e-02
2.4301456000e+03    9.2037277000e-03
2.4312757000e+03    1.8282368400e-02
2.4315103000e+03    8.6219216000e-03
2.4322197000e+03    4.8349326000e-03
2.4323516000e+03    9.6589620000e-04
2.4324965000e+03    2.0909332000e-03
2.4336953000e+03    3.6029920000e-04
2.4347256000e+03    3.3188130000e-04
2.4349621000e+03    6.3174115000e-03
2.4358310000e+03    6.0429450000e-04
2.4359027000e+03    8.0415690000e-04
2.4360927000e+03    9.0345767000e-03
2.4364572000e+03    2.7726830000e-04
2.4369176000e+03    6.3191171000e-03
2.4373189000e+03    2.6071787000e-03
2.4378853000e+03    1.4426304000e-03
2.4380304000e+03    1.7134610000e-04
2.4382089000e+03    4.0082480000e-04
2.4386225000e+03    1.3541440000e-04
2.4389204000e+03    2.9949895000e-03
2.4391334000e+03    4.3685040000e-04
2.4395453000e+03    2.6207501000e-03
2.4396479000e+03    9.5951271000e-03
2.4401217000e+03    1.8115489000e-03
2.4412401000e+03    1.3814892000e-03
2.4413841000e+03    3.8889390000e-04
2.4424174000e+03    1.0254896000e-03
2.4436872000e+03    4.5772390000e-04
2.4444126000e+03    1.4909345000e-03
2.4450234000e+03    2.5383840000e-04
2.4462760000e+03    7.3186720000e-04
2.4466080000e+03    1.1267053000e-03
2.4476125000e+03    2.0680700000e-04
