# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 31 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4900756000e+03    5.6410000000e-07
2.4896562000e+03    1.5433368800e-02
2.4888579000e+03    2.8496839000e-03
2.4884551000e+03    2.4065900000e-05
2.4882916000e+03    9.1977200000e-04
2.4879659000e+03    3.2078800000e-04
2.4871455000e+03    2.2236000000e-06
2.4865991000e+03    9.4218763000e-03
2.4854806000e+03    8.4216769000e-03
2.4852640000e+03    6.0385690000e-03
2.4846621000e+03    1.7289481500e-02
2.4843141000e+03    4.5533265000e-03
2.4842133000e+03    1.4937983400e-02
2.4823471000e+03    1.2865096000e-03
2.4810762000e+03    6.7163493000e-03
2.4806599000e+03    4.1510960000e-04
2.4764971000e+03    3.2346240000e-04
2.4764033000e+03    3.7505707000e-03
2.4740612000e+03    1.0669770000e-04
2.4731594000e+03    2.4077140000e-04
2.4716017000e+03    2.1688988000e-03
2.4679608000e+03    3.7488256000e-03
2.3172867000e+03    6.1224279420e-01
2.3172127000e+03    3.6487007810e-01
2.3171989000e+03    6.0813089720e-01
2.2671117000e+03    2.8457400000e-05
2.2170025000e+03    1.0000000000e-10
2.2169926000e+03    0.0000000000e+00
2.2158242000e+03    4.0000000000e-10
2.2158239000e+03    2.0000000000e-10
1.9737735000e+03    1.0000000000e-10
