# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4203919000e+03    4.9930548000e-03
2.4226828000e+03    1.3723947900e-02
2.4233596000e+03    1.1317608400e-02
2.4244230000e+03    1.2090124700e-02
2.4248028000e+03    1.3794026200e-02
2.4255396000e+03    6.9226730000e-03
2.4261898000e+03    1.4883469000e-03
2.4267189000e+03    4.1485430000e-04
2.4272302000e+03    4.8599920000e-04
2.4280801000e+03    5.2005300000e-04
2.4281593000e+03    4.2281180000e-04
2.4288247000e+03    4.0883362000e-03
2.4292021000e+03    7.0184747000e-03
2.4293484000e+03    3.3711785000e-03
2.4298792000e+03    7.3068294000e-03
2.4307552000e+03    1.9039845000e-03
2.4311737000e+03    9.5005618000e-03
2.4312715000e+03    1.0837225700e-02
2.4318102000e+03    2.0972519000e-03
2.4321340000e+03    8.2194510000e-04
2.4328430000e+03    1.0167434000e-03
2.4331993000e+03    7.7100170000e-04
2.4334060000e+03    6.4126320000e-04
2.4341717000e+03    2.9490020000e-04
2.4344035000e+03    1.3052630000e-03
2.4347165000e+03    3.1849940000e-03
2.4353965000e+03    8.9693030000e-04
2.4359079000e+03    4.9114603000e-03
2.4362616000e+03    2.7163396000e-03
2.4368804000e+03    5.2059113000e-03
2.4372130000e+03    6.6706710000e-03
2.4380213000e+03    5.4455230000e-04
2.4383821000e+03    3.3687199000e-03
2.4387965000e+03    8.1676090000e-04
2.4390751000e+03    2.4030906000e-03
2.4398867000e+03    1.0113820000e-03
2.4401094000e+03    2.6767017000e-03
2.4401972000e+03    3.2262194000e-03
2.4403231000e+03    1.9498011000e-03
2.4408920000e+03    2.3973080000e-04
2.4409515000e+03    1.8773290000e-04
2.4413101000e+03    3.6770700000e-04
2.4420438000e+03    1.3183963000e-03
2.4421838000e+03    4.2838000000e-05
2.4430194000e+03    1.0537859000e-03
2.4437235000e+03    7.6988070000e-04
2.4439746000e+03    3.7835070000e-04
2.4443421000e+03    1.0627540000e-04
2.4446241000e+03    5.4424900000e-04
2.4453016000e+03    5.6790690000e-04
