# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 36 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4899251000e+03    1.0719603300e-02
2.4892119000e+03    3.0307754000e-03
2.4885703000e+03    1.2907930000e-04
2.4882005000e+03    8.0547420000e-04
2.4869149000e+03    1.5347831000e-03
2.4866804000e+03    1.2269053000e-03
2.4861669000e+03    1.2732231000e-03
2.4859884000e+03    1.3876320200e-02
2.4850164000e+03    2.9155794000e-03
2.4849358000e+03    5.1746187000e-03
2.4845007000e+03    1.6182330100e-02
2.4839964000e+03    3.0833342000e-03
2.4837353000e+03    5.0950457000e-03
2.4833572000e+03    1.8715944000e-03
2.4824170000e+03    2.4486748000e-03
2.4814782000e+03    2.9588345000e-03
2.4794950000e+03    1.8041614000e-03
2.4787696000e+03    5.6608240000e-04
2.4762967000e+03    5.5121300000e-04
2.4751129000e+03    2.2653183000e-03
2.4738895000e+03    1.7448659000e-03
2.4687557000e+03    1.6921022000e-03
2.4679018000e+03    1.7996252000e-03
2.4673442000e+03    9.4752300000e-05
2.3172540000e+03    5.1039312220e-01
2.3171825000e+03    3.1683405260e-01
2.3171628000e+03    4.9440669920e-01
2.2670878000e+03    2.1088000000e-05
2.2190158000e+03    0.0000000000e+00
2.2166109000e+03    4.0000000000e-10
2.2160443000e+03    0.0000000000e+00
2.2157316000e+03    0.0000000000e+00
2.2154728000e+03    1.0000000000e-10
2.1033500000e+03    0.0000000000e+00
1.9742368000e+03    0.0000000000e+00
1.9737319000e+03    1.0000000000e-10
