# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4210559000e+03    3.9279871000e-03
2.4221347000e+03    1.4065669800e-02
2.4228276000e+03    7.4620886000e-03
2.4241765000e+03    1.0931392700e-02
2.4249840000e+03    1.6243053700e-02
2.4256374000e+03    6.5846710000e-04
2.4258326000e+03    6.5945847000e-03
2.4269443000e+03    1.7692820000e-03
2.4272190000e+03    3.1074070000e-04
2.4279862000e+03    5.6846780000e-04
2.4290862000e+03    1.3364609600e-02
2.4295765000e+03    7.8332676000e-03
2.4299544000e+03    6.9360271000e-03
2.4304290000e+03    3.1674198000e-03
2.4313187000e+03    2.5469714000e-03
2.4315866000e+03    3.8017695000e-03
2.4322082000e+03    2.2579066000e-03
2.4324774000e+03    1.9233500000e-03
2.4326758000e+03    4.0239965000e-03
2.4335207000e+03    2.1801395000e-03
2.4340302000e+03    7.4537380000e-04
2.4346867000e+03    1.2541503000e-03
2.4347962000e+03    1.9573713000e-03
2.4356083000e+03    6.2076720000e-04
2.4359483000e+03    4.7741710000e-04
2.4361874000e+03    4.5025021000e-03
2.4367124000e+03    1.2343476000e-03
2.4372777000e+03    6.0311933000e-03
2.4375386000e+03    1.1875302000e-03
2.4383377000e+03    3.9089442000e-03
2.4389029000e+03    1.2063955000e-03
2.4392889000e+03    2.6017774000e-03
2.4395881000e+03    3.9498182000e-03
2.4399768000e+03    3.2567180000e-04
2.4401359000e+03    5.7155838000e-03
2.4407197000e+03    6.6626400000e-04
2.4416201000e+03    8.9537520000e-04
2.4421798000e+03    6.4384000000e-04
2.4429058000e+03    3.1028160000e-04
2.4431252000e+03    1.3665490000e-04
2.4436947000e+03    5.5063000000e-06
2.4443065000e+03    8.2408100000e-05
2.4445066000e+03    7.8795860000e-04
2.4451774000e+03    1.4647100000e-04
2.4455588000e+03    1.0609990000e-03
2.4459046000e+03    1.4855190000e-04
2.4461465000e+03    1.1551755000e-03
2.4466421000e+03    5.1821820000e-04
2.4468406000e+03    6.9534370000e-04
2.4471288000e+03    2.4109600000e-05
