# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 50 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4207743000e+03    4.7436358000e-03
2.4224838000e+03    1.5359213100e-02
2.4228991000e+03    1.2056288400e-02
2.4233083000e+03    9.1429094000e-03
2.4248201000e+03    1.4429808800e-02
2.4251459000e+03    1.6739067600e-02
2.4255953000e+03    6.1292098000e-03
2.4265707000e+03    1.9096430000e-04
2.4269086000e+03    2.2892592000e-03
2.4270244000e+03    6.9220560000e-04
2.4271991000e+03    3.4561607000e-03
2.4279884000e+03    1.9007680000e-04
2.4284638000e+03    1.7772791000e-03
2.4296964000e+03    8.7628565000e-03
2.4300402000e+03    6.1739796000e-03
2.4300971000e+03    1.1313695200e-02
2.4314318000e+03    1.5620494100e-02
2.4315483000e+03    3.5570512000e-03
2.4321957000e+03    3.9974477000e-03
2.4326199000e+03    5.9863670000e-04
2.4327855000e+03    3.9234690000e-03
2.4330113000e+03    1.4183005000e-03
2.4342339000e+03    2.0725380000e-04
2.4346659000e+03    3.5118125000e-03
2.4350048000e+03    6.6402430000e-04
2.4355431000e+03    2.1044346000e-03
2.4359017000e+03    1.3771299000e-03
2.4360390000e+03    5.6774285000e-03
2.4365484000e+03    1.2661507000e-03
2.4368934000e+03    6.8858729000e-03
2.4375528000e+03    8.1172287000e-03
2.4380322000e+03    1.2772670000e-04
2.4381739000e+03    1.6123990000e-04
2.4386168000e+03    1.3862877000e-03
2.4390086000e+03    1.9667694000e-03
2.4393335000e+03    3.9111061000e-03
2.4397059000e+03    7.2583420000e-04
2.4401242000e+03    9.3943235000e-03
2.4408015000e+03    7.9668360000e-04
2.4415916000e+03    3.2896540000e-04
2.4416507000e+03    6.6076200000e-05
2.4419168000e+03    5.1869820000e-04
2.4434073000e+03    9.3346800000e-05
2.4436238000e+03    1.0495593000e-03
2.4449021000e+03    2.5921490000e-04
2.4449496000e+03    1.0558814000e-03
2.4456005000e+03    1.3563811000e-03
2.4460666000e+03    4.1415040000e-04
2.4463117000e+03    6.4399310000e-04
2.4465664000e+03    6.8842600000e-05
