# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 28 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4897333000e+03    1.4504376500e-02
2.4889729000e+03    1.0627816000e-03
2.4885787000e+03    2.7350159000e-03
2.4880964000e+03    1.0252610000e-04
2.4874726000e+03    4.0453070000e-04
2.4868238000e+03    4.5265951000e-03
2.4858803000e+03    1.9293605800e-02
2.4847960000e+03    5.0432314000e-03
2.4846121000e+03    1.8862823000e-02
2.4840623000e+03    9.9358383000e-03
2.4835559000e+03    5.6465224000e-03
2.4819393000e+03    2.5415201000e-03
2.4808833000e+03    5.4793523000e-03
2.4793843000e+03    7.5565560000e-04
2.4761600000e+03    2.6595756000e-03
2.4742791000e+03    2.8247814000e-03
2.4731440000e+03    2.1507450000e-04
2.4687747000e+03    1.8743762000e-03
2.4678151000e+03    2.6799972000e-03
2.3172594000e+03    6.2812447770e-01
2.3171895000e+03    3.7546629230e-01
2.3171707000e+03    6.1006513070e-01
2.2670860000e+03    2.7432100000e-05
2.2168624000e+03    5.0000000000e-10
2.2161082000e+03    1.0000000000e-10
2.2145944000e+03    1.0000000000e-10
2.1036944000e+03    0.0000000000e+00
1.9736816000e+03    1.0000000000e-10
