# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 28 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4897660000e+03    1.3565827000e-02
2.4896114000e+03    1.0241422000e-03
2.4884576000e+03    1.1248243000e-03
2.4875717000e+03    1.4432710000e-03
2.4873040000e+03    8.5946360000e-04
2.4865130000e+03    8.7714333000e-03
2.4852489000e+03    1.0976254100e-02
2.4848285000e+03    1.2455599900e-02
2.4846951000e+03    1.5983649400e-02
2.4842991000e+03    8.2238170000e-04
2.4841857000e+03    9.6458141000e-03
2.4819706000e+03    2.2137693000e-03
2.4809283000e+03    3.3046671000e-03
2.4802995000e+03    1.4379884000e-03
2.4764384000e+03    2.8014248000e-03
2.4758680000e+03    1.1362945000e-03
2.4728135000e+03    7.9442900000e-04
2.4714317000e+03    1.7514836000e-03
2.4681018000e+03    3.3596895000e-03
2.3172943000e+03    5.8042583070e-01
2.3172185000e+03    3.7683215330e-01
2.3172038000e+03    5.3769514150e-01
2.2671245000e+03    2.6780800000e-05
2.2170165000e+03    4.0000000000e-10
2.2170107000e+03    0.0000000000e+00
2.2169051000e+03    0.0000000000e+00
2.2155096000e+03    1.0000000000e-10
1.9738890000e+03    1.0000000000e-10
