# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.1, 'makespec': False, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 39 TDDFT singlet excitations
# Roots not broadened
# No spectrum generated: output is list of raw excitations
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
2.4897934000e+03    1.4443624800e-02
2.4890352000e+03    1.1525367000e-03
2.4889654000e+03    2.2918800000e-04
2.4885528000e+03    2.5451631000e-03
2.4881484000e+03    7.7734600000e-05
2.4881175000e+03    2.4030000000e-07
2.4875156000e+03    3.7191280000e-04
2.4868530000e+03    4.6293786000e-03
2.4859415000e+03    1.6943380100e-02
2.4858580000e+03    7.6674740000e-04
2.4847358000e+03    7.0997622000e-03
2.4846714000e+03    8.3041412000e-03
2.4842678000e+03    1.8545425800e-02
2.4838261000e+03    4.0343870000e-04
2.4837210000e+03    4.8671259000e-03
2.4832350000e+03    1.5853059000e-03
2.4820847000e+03    2.6801848000e-03
2.4809105000e+03    5.2246294000e-03
2.4797728000e+03    7.2120400000e-05
2.4785427000e+03    9.6072040000e-04
2.4756412000e+03    2.9403143000e-03
2.4741927000e+03    2.3351195000e-03
2.4731130000e+03    2.4334180000e-04
2.4687541000e+03    1.9134631000e-03
2.4685966000e+03    1.5665000000e-06
2.4678036000e+03    2.6460771000e-03
2.4661230000e+03    1.2480000000e-06
2.3172626000e+03    6.2665473300e-01
2.3171913000e+03    3.7117926980e-01
2.3171730000e+03    6.1285350620e-01
2.2670897000e+03    2.7499400000e-05
2.2168183000e+03    5.0000000000e-10
2.2159113000e+03    1.0000000000e-10
2.2150211000e+03    0.0000000000e+00
2.2146303000e+03    1.0000000000e-10
2.1037091000e+03    0.0000000000e+00
1.9747715000e+03    0.0000000000e+00
1.9736841000e+03    1.0000000000e-10
1.9734356000e+03    0.0000000000e+00
